,algorithm,n,p,out,out_2model,rss,iter,time,cos,intercept_diff,l2,global_min,intercept,h_size,max_steps,leverage_ratio
0,FAST-LTS,20,2,0.45,0.0,47.45599933199479,3,0.0040490000228601275,0.9998140375360027,0.7732727270387165,0.7738492174979508,False,True,12,100,0.2
1,FSA-I,20,2,0.45,0.0,47.45599933199482,5,0.00016399999731220305,0.9998140375360028,0.7732727270387159,0.77384921749795,False,True,12,100,0.2
2,FSA-QR,20,2,0.45,0.0,47.455999331994754,6,0.0007789999945089221,0.9998140375360027,0.7732727270387199,0.773849217497954,False,True,12,100,0.2
3,MOEA-I,20,2,0.45,0.0,72563.15257801062,100,0.0006309999735094607,0.9869762468737133,102.84505600294597,102.85184620003447,False,True,12,100,0.2
4,MOEA-QR,20,2,0.45,0.0,47.45599933197041,2,8.800000068731606e-05,0.9998140375360026,0.7732727270387192,0.7738492174979533,False,True,12,100,0.2
5,MMEA-I,20,2,0.45,0.0,1929.484270785217,4,5.900000178371556e-05,0.9016988081161434,11.186762814020017,11.203541635524504,False,True,12,100,0.2
6,MMEA-QR,20,2,0.45,0.0,47.45599933200941,7,0.00016399999731220305,0.9998140375360026,0.7732727270387196,0.7738492174979538,False,True,12,100,0.2
7,FAST-LTS,20,2,0.45,0.0,188.58537536220848,5,0.003926000106730498,0.9999591765306441,0.09165664946566066,0.10188097537658415,False,True,12,100,0.2
8,FSA-I,20,2,0.45,0.0,188.5853753622088,7,0.0002589999930933118,0.9999591765306444,0.09165664946567464,0.10188097537659636,False,True,12,100,0.2
9,FSA-QR,20,2,0.45,0.0,307.5671695223768,3,0.0004180000105407089,0.9999648353549178,1.4530775370326532,1.4531254575399288,False,True,12,100,0.2
10,MOEA-I,20,2,0.45,0.0,3219.1304529703007,5,6.70000008540228e-05,0.859184161574115,22.149871512510465,22.172648819240568,False,True,12,100,0.2
11,MOEA-QR,20,2,0.45,0.0,188.58537536222707,7,0.00020900000527035445,0.9999591765306444,0.09165664946565744,0.10188097537658114,False,True,12,100,0.2
12,MMEA-I,20,2,0.45,0.0,8457.604096917923,4,6.800000119255856e-05,0.9616062773650333,24.2659528032314,24.330414296800534,False,True,12,100,0.2
13,MMEA-QR,20,2,0.45,0.0,188.5853753622218,6,0.00015900000289548188,0.9999591765306444,0.09165664946565899,0.10188097537658199,False,True,12,100,0.2
14,FAST-LTS,20,2,0.45,0.0,687.0931025526306,4,0.003914000037184451,0.8777337229448867,0.005021314808947741,0.7176353788127628,False,True,12,100,0.2
15,FSA-I,20,2,0.45,0.0,4509.419703397063,6,0.00020199999562464654,0.9998838900532799,25.588675790783373,25.65422749586309,False,True,12,100,0.2
16,FSA-QR,20,2,0.45,0.0,775.389226314616,4,0.0005530000198632479,0.8676280236538015,0.9102073747778847,1.346878593294999,False,True,12,100,0.2
17,MOEA-I,20,2,0.45,0.0,6720.887459907361,100,0.0007830000249668956,0.35460345527010784,57.61815188862761,57.716306044727595,False,True,12,100,0.2
18,MOEA-QR,20,2,0.45,0.0,687.093102552625,4,0.00013899999612476677,0.8777337229448868,0.005021314808950295,0.7176353788127626,False,True,12,100,0.2
19,MMEA-I,20,2,0.45,0.0,-4467.135661326665,6,0.00011899999663000926,0.2606879605699426,22.3118947683482,22.465580264275452,False,True,12,100,0.2
20,MMEA-QR,20,2,0.45,0.0,4509.419703397074,4,0.00013299999409355223,0.9998838900532799,25.588675790783363,25.65422749586308,False,True,12,100,0.2
21,FAST-LTS,20,2,0.45,0.0,216.1513689506354,4,0.004640999886760255,0.9999603720322002,0.4740111411573944,0.4742157562044534,False,True,12,100,0.2
22,FSA-I,20,2,0.45,0.0,216.1513689506353,7,0.00023600000713486224,0.9999603720322002,0.4740111411573914,0.47421575620445044,False,True,12,100,0.2
23,FSA-QR,20,2,0.45,0.0,216.1513689506354,4,0.0005419999943114817,0.9999603720322,0.4740111411573956,0.4742157562044546,False,True,12,100,0.2
24,MOEA-I,20,2,0.45,0.0,1935.4623882685314,8,6.900000153109431e-05,-0.1858726708446199,35.45604589609955,35.56688126866168,False,True,12,100,0.2
25,MOEA-QR,20,2,0.45,0.0,216.15136895064327,4,0.00017899999511428177,0.9999603720322,0.47401114115739396,0.474215756204453,False,True,12,100,0.2
26,MMEA-I,20,2,0.45,0.0,-464.33993458037617,16,0.00014000000373926014,0.7802345347466831,15.695520270507098,15.759122156167987,False,True,12,100,0.2
27,MMEA-QR,20,2,0.45,0.0,216.15136895062506,4,0.00011600000289035961,0.9999603720322002,0.4740111411573964,0.4742157562044554,False,True,12,100,0.2
28,FAST-LTS,20,2,0.45,0.0,58.360177867194814,3,0.0042429999593878165,0.9999844192958748,0.31380867899151466,0.3139634666807625,False,True,12,100,0.2
29,FSA-I,20,2,0.45,0.0,58.3601778671948,5,0.0002010000025620684,0.9999844192958746,0.31380867899153875,0.31396346668078645,False,True,12,100,0.2
30,FSA-QR,20,2,0.45,0.0,58.36017786719473,4,0.0005259999888949096,0.9999844192958748,0.3138086789915142,0.3139634666807621,False,True,12,100,0.2
31,MOEA-I,20,2,0.45,0.0,-12510.895419183993,100,0.0008449999731965363,0.01481913704222837,23.05603221708384,23.203381711585934,False,True,12,100,0.2
32,MOEA-QR,20,2,0.45,0.0,22749.243804584657,3,0.00013299999409355223,-0.456794391308605,22.586477814061887,26.68393833557399,False,True,12,100,0.2
33,MMEA-I,20,2,0.45,0.0,-5231.374908929611,8,7.200000254670158e-05,0.9890203362588256,17.14673544464397,17.148654037840718,False,True,12,100,0.2
34,MMEA-QR,20,2,0.45,0.0,58.36017786722914,3,8.399999933317304e-05,0.9999844192958748,0.31380867899151854,0.3139634666807664,False,True,12,100,0.2
35,FAST-LTS,20,2,0.45,0.0,561.9509931029268,4,0.00395100015157368,0.9186000087518219,4.1077222777023215,4.14156861525868,False,True,12,100,0.2
36,FSA-I,20,2,0.45,0.0,561.9509931029269,5,0.00017499999376013875,0.9186000087518227,4.107722277702293,4.1415686152586515,False,True,12,100,0.2
37,FSA-QR,20,2,0.45,0.0,561.9509931029264,6,0.0007440000190399587,0.9186000087518221,4.1077222777023215,4.14156861525868,False,True,12,100,0.2
38,MOEA-I,20,2,0.45,0.0,4794.668443260058,6,6.600000051548705e-05,0.7939412729525256,2.415802971519228,2.703701659533047,False,True,12,100,0.2
39,MOEA-QR,20,2,0.45,0.0,561.9509931029562,7,0.00020399999630171806,0.9186000087518222,4.107722277702321,4.141568615258679,False,True,12,100,0.2
40,MMEA-I,20,2,0.45,0.0,-2098.725427842958,8,7.400000322377309e-05,0.9996530270565614,0.8895212695870185,0.9118966611999274,False,True,12,100,0.2
41,MMEA-QR,20,2,0.45,0.0,561.9509931029118,6,0.0001429999974789098,0.9186000087518222,4.107722277702321,4.141568615258679,False,True,12,100,0.2
42,FAST-LTS,20,2,0.45,0.0,1517.293957142164,4,0.004232000061165309,0.9981449075646193,5.942280514597843,5.943113127219296,False,True,12,100,0.2
43,FSA-I,20,2,0.45,0.0,48475.5414840608,4,0.00015300000086426735,-0.4782116401486214,167.14012736264968,167.38566695650235,False,True,12,100,0.2
44,FSA-QR,20,2,0.45,0.0,1377.1021046298965,8,0.0009660000214353204,0.9986644703957619,3.2735507490516467,3.276276679705158,False,True,12,100,0.2
45,MOEA-I,20,2,0.45,0.0,71452.15922091919,100,0.0006380000268109143,0.05139480348912184,40.35731900552116,40.38880505401494,False,True,12,100,0.2
46,MOEA-QR,20,2,0.45,0.0,1377.1021046298897,5,0.00015500000154133886,0.9986644703957619,3.2735507490516413,3.276276679705153,False,True,12,100,0.2
47,MMEA-I,20,2,0.45,0.0,-20459.742868873454,6,7.500000356230885e-05,0.8322150519859135,0.39535241394396703,1.4066537917375777,False,True,12,100,0.2
48,MMEA-QR,20,2,0.45,0.0,6602.654294917876,5,0.0001429999974789098,0.49693625917954765,3.3902411439693303,6.156482858086487,False,True,12,100,0.2
49,FAST-LTS,20,2,0.45,0.0,41.483281197036355,6,0.0037699999556934927,0.9997431363215439,0.769195005676147,0.7705217047837876,False,True,12,100,0.2
50,FSA-I,20,2,0.45,0.0,41.483281197036334,4,0.00015300000086426735,0.9997431363215439,0.7691950056761452,0.7705217047837858,False,True,12,100,0.2
51,FSA-QR,20,2,0.45,0.0,41.48328119703637,5,0.000610999995842576,0.9997431363215437,0.7691950056761503,0.7705217047837909,False,True,12,100,0.2
52,MOEA-I,20,2,0.45,0.0,-135.16018620521496,51,0.0004419999895617366,0.6214384365376061,24.140676871072987,24.16683902455074,False,True,12,100,0.2
53,MOEA-QR,20,2,0.45,0.0,443.3046909913016,5,0.00016399999731220305,0.9982411843882399,13.64659880449913,13.771547147099321,False,True,12,100,0.2
54,MMEA-I,20,2,0.45,0.0,-50.517147622938694,4,4.8999998398358e-05,0.9926320968207307,3.1366867846877344,3.1432242273947226,False,True,12,100,0.2
55,MMEA-QR,20,2,0.45,0.0,41.483281197031765,6,0.00016599999798927456,0.9997431363215439,0.7691950056761461,0.7705217047837867,False,True,12,100,0.2
56,FAST-LTS,20,2,0.45,0.0,374.50934598750837,5,0.004680999965785304,0.9997665635250609,1.132643490568991,1.133606056875578,False,True,12,100,0.2
57,FSA-I,20,2,0.45,0.0,374.5093459875082,7,0.00024199999461416155,0.9997665635250609,1.1326434905689953,1.1336060568755821,False,True,12,100,0.2
58,FSA-QR,20,2,0.45,0.0,374.5093459875082,5,0.0006699999794363976,0.9997665635250609,1.132643490568991,1.133606056875578,False,True,12,100,0.2
59,MOEA-I,20,2,0.45,0.0,-27874.73472384221,100,0.000666000007186085,0.19811206090163824,109.71227335581145,110.07608054507682,False,True,12,100,0.2
60,MOEA-QR,20,2,0.45,0.0,13803.392494787626,4,0.00013800000306218863,0.04585453448050947,93.25925103390449,95.5474435535344,False,True,12,100,0.2
61,MMEA-I,20,2,0.45,0.0,8782.141582060733,5,5.8000001445179805e-05,0.04784926800265432,74.56803757250907,75.07057002156823,False,True,12,100,0.2
62,MMEA-QR,20,2,0.45,0.0,374.50934598749166,6,0.0001449999981559813,0.999766563525061,1.132643490568991,1.133606056875578,False,True,12,100,0.2
63,FAST-LTS,20,2,0.45,0.0,196.3667444031586,4,0.004570000026433263,0.9858711763424608,0.6908094850947232,0.7312474763139449,False,True,12,100,0.2
64,FSA-I,20,2,0.45,0.0,196.36674440315855,3,0.00018000000272877514,0.9858711763424609,0.6908094850947254,0.7312474763139467,False,True,12,100,0.2
65,FSA-QR,20,2,0.45,0.0,196.3667444031586,6,0.0007440000190399587,0.9858711763424609,0.690809485094725,0.7312474763139466,False,True,12,100,0.2
66,MOEA-I,20,2,0.45,0.0,2258.0721264020517,7,5.900000178371556e-05,0.6411290888731694,21.374480859009996,21.48303572926226,False,True,12,100,0.2
67,MOEA-QR,20,2,0.45,0.0,196.36674440316506,5,0.00018600000475998968,0.9858711763424608,0.6908094850947243,0.7312474763139458,False,True,12,100,0.2
68,MMEA-I,20,2,0.45,0.0,2528.052861509879,4,4.999999873689376e-05,0.73650449789567,15.700179948389938,15.78921577451974,False,True,12,100,0.2
69,MMEA-QR,20,2,0.45,0.0,3405.104884892699,4,0.00013000000035390258,0.9350430519919906,20.846381381193538,20.957463962107376,False,True,12,100,0.2
70,FAST-LTS,20,2,0.45,0.0,526.1765625129303,3,0.0038619999886577716,0.9997542140822534,5.153308114623464,5.153864044808114,False,True,12,100,0.2
71,FSA-I,20,2,0.45,0.0,4796.757586680689,3,0.0001939999929163605,0.14731221098211655,12.928374944268773,15.261528357354683,False,True,12,100,0.2
72,FSA-QR,20,2,0.45,0.0,526.1765625129303,5,0.0006500000017695129,0.9997542140822533,5.153308114623464,5.153864044808114,False,True,12,100,0.2
73,MOEA-I,20,2,0.45,0.0,-4694.194875108205,100,0.0007939999923110008,0.9896421501954067,9.952928932774492,9.954711271013393,False,True,12,100,0.2
74,MOEA-QR,20,2,0.45,0.0,526.1765625129203,5,0.00016900000628083944,0.9997542140822533,5.153308114623467,5.153864044808118,False,True,12,100,0.2
75,MMEA-I,20,2,0.45,0.0,-14062.807733240103,9,8.199999865610152e-05,0.9801441782804304,1.667735823928314,1.688194950990807,False,True,12,100,0.2
76,MMEA-QR,20,2,0.45,0.0,526.1765625129414,5,0.00012399999832268804,0.9997542140822533,5.153308114623467,5.153864044808118,False,True,12,100,0.2
77,FAST-LTS,20,2,0.45,0.0,363.50860942718987,4,0.004185999983747024,0.9999959509535284,0.4499274263644636,0.45019251857031034,False,True,12,100,0.2
78,FSA-I,20,2,0.45,0.0,363.5086094271899,4,0.0001829999964684248,0.9999959509535286,0.44992742636446226,0.45019251857030906,False,True,12,100,0.2
