algorithm,n,p,out,out_2model,rss,iter,time,intercept,h_size,max_steps,leverage_ratio
MOEA-QR-BAB,15,5,0.1,0.0,1.9677340731020707,574,0.0016830000095069408,True,10,100,0.2
BAB,15,5,0.1,0.0,1.9677340731020707,1238,0.002287999959662557,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,1.9677340731020605,8773,2.044189929962158,True,10,100,0.2
BSA,15,5,0.1,0.0,1.9677340731020605,8773,2.069063901901245,True,10,100,0.2
EXACT,15,5,0.1,0.0,1.9677340731020816,0,0.007960000075399877,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,0.610281501180101,851,0.0019759999122470613,True,10,100,0.2
BAB,15,5,0.1,0.0,0.610281501180101,1244,0.0025390000082552433,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,0.6102815011800997,6014,1.9375330209732056,True,10,100,0.2
BSA,15,5,0.1,0.0,0.6102815011800997,6014,1.92677903175354,True,10,100,0.2
EXACT,15,5,0.1,0.0,0.6102815011801057,0,0.007693000137805939,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,11.008602440162122,625,0.0016270000487565994,True,10,100,0.2
BAB,15,5,0.1,0.0,11.008602440162122,1229,0.002379999961704016,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,11.008602440162148,11532,2.3193280696868896,True,10,100,0.2
BSA,15,5,0.1,0.0,11.008602440162148,11532,2.33776593208313,True,10,100,0.2
EXACT,15,5,0.1,0.0,11.008602440162154,0,0.00788700021803379,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,0.13652496275028886,578,0.0016449999529868364,True,10,100,0.2
BAB,15,5,0.1,0.0,0.13652496275028886,1215,0.002263000002130866,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,0.13652496275028506,7998,1.9995659589767456,True,10,100,0.2
BSA,15,5,0.1,0.0,0.13652496275028506,7998,2.0137920379638667,True,10,100,0.2
EXACT,15,5,0.1,0.0,0.13652496275029158,0,0.007857999764382841,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,2.555173204726536,698,0.0017109999898821115,True,10,100,0.2
BAB,15,5,0.1,0.0,2.555173204726536,1318,0.0027280000504106283,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,2.5551732047265134,6541,2.0050370693206787,True,10,100,0.2
BSA,15,5,0.1,0.0,2.5551732047265134,6541,2.039103984832764,True,10,100,0.2
EXACT,15,5,0.1,0.0,2.555173204726528,0,0.007972000166773796,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,0.4653997892753251,885,0.002600000007078052,True,10,100,0.2
BAB,15,5,0.1,0.0,0.4653997892753251,1212,0.002348999958485365,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,0.4653997892753245,10571,2.600781917572021,True,10,100,0.2
BSA,15,5,0.1,0.0,0.4653997892753245,10571,2.6064960956573486,True,10,100,0.2
EXACT,15,5,0.1,0.0,0.4653997892753342,0,0.007832000032067299,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,0.5080256915313637,607,0.001715000020340085,True,10,100,0.2
BAB,15,5,0.1,0.0,0.5080256915313637,1468,0.002962999977171421,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,0.5080256915313616,9455,2.2050020694732666,True,10,100,0.2
BSA,15,5,0.1,0.0,0.5080256915313616,9455,2.127327919006348,True,10,100,0.2
EXACT,15,5,0.1,0.0,0.5080256915313763,0,0.007910000160336494,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,15.404483110121815,571,0.0015490000369027255,True,10,100,0.2
BAB,15,5,0.1,0.0,15.404483110121815,1506,0.003160000080242753,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,15.404483110121742,3689,2.1236310005187993,True,10,100,0.2
BSA,15,5,0.1,0.0,15.404483110121742,3689,2.1201159954071045,True,10,100,0.2
EXACT,15,5,0.1,0.0,15.40448311012176,0,0.007813000120222569,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,3.2014038305354036,738,0.0018319999799132347,True,10,100,0.2
BAB,15,5,0.1,0.0,3.2014038305354036,1202,0.002221999922767281,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,3.2014038305353854,14787,2.245910882949829,True,10,100,0.2
BSA,15,5,0.1,0.0,3.2014038305353854,14787,2.244988918304444,True,10,100,0.2
EXACT,15,5,0.1,0.0,3.2014038305353893,0,0.00782200042158365,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,1.7219772666153166,581,0.001614999957382679,True,10,100,0.2
BAB,15,5,0.1,0.0,1.7219772666153166,1277,0.0026020000223070387,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,1.7219772666153292,5859,2.0266330242156982,True,10,100,0.2
BSA,15,5,0.1,0.0,1.7219772666153292,5859,2.023216962814331,True,10,100,0.2
EXACT,15,5,0.1,0.0,1.7219772666153228,0,0.007908999919891356,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,3.054810833522585,595,0.0016139999497681856,True,10,100,0.2
BAB,15,5,0.1,0.0,3.054810833522585,1248,0.00254400004632771,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,3.054810833522578,7471,2.0403490066528316,True,10,100,0.2
BSA,15,5,0.1,0.0,3.054810833522578,7471,2.0336179733276367,True,10,100,0.2
EXACT,15,5,0.1,0.0,3.0548108335225885,0,0.007768999785184859,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,18.108763179972247,751,0.0018769999733194707,True,10,100,0.2
BAB,15,5,0.1,0.0,18.108763179972247,1218,0.0024580000899732113,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,18.61411932751441,11501,2.3577380180358887,True,10,100,0.2
BSA,15,5,0.1,0.0,18.61411932751441,11501,2.3606820106506348,True,10,100,0.2
EXACT,15,5,0.1,0.0,18.108763179972254,0,0.007841000333428383,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,2.1476775322764,988,0.002971000038087368,True,10,100,0.2
BAB,15,5,0.1,0.0,2.1476775322764,1213,0.00254400004632771,True,10,100,0.2
