,algorithm,n,p,out,out_2model,rss,iter,time,cos,intercept_diff,l2,global_min,intercept,h_size,num_starts_subsets,leverage_ratio
0,FAST-LTS,20,2,0.1,0.0,39.68033636123427,4,0.0004330000047048088,0.9999545025889583,1.2540821213383713,1.2631727623317328,False,True,12,50,0.2
1,FAST-LTS-MMEA-QR,20,2,0.1,0.0,39.68033636123421,3,0.005319000221788883,0.9999545025889585,1.2540821213383728,1.2631727623317344,False,True,12,50,0.2
2,FAST-LTS-MOEA-QR,20,2,0.1,0.0,39.68033636123421,5,0.00774300005286932,0.9999545025889585,1.2540821213383733,1.2631727623317348,False,True,12,50,0.2
3,MMEA-QR,20,2,0.1,0.0,39.680336361234225,5,0.005096000153571367,0.9999545025889585,1.2540821213383728,1.2631727623317344,False,True,12,50,0.2
4,MOEA-QR,20,2,0.1,0.0,39.680336361234225,4,0.006471999920904636,0.9999545025889585,1.2540821213383728,1.2631727623317344,False,True,12,50,0.2
5,FAST-LTS,20,2,0.1,0.0,2.406359947546097,5,0.00040699998498894274,0.9999945670585593,0.5588805391730552,0.5589027481477223,False,True,12,50,0.2
6,FAST-LTS-MMEA-QR,20,2,0.1,0.0,1.3822645490353511,6,0.005295000039041042,0.999974049445366,0.8156893065591122,0.8159044486487548,False,True,12,50,0.2
7,FAST-LTS-MOEA-QR,20,2,0.1,0.0,1.3822645490353507,6,0.007269000168889761,0.999974049445366,0.8156893065591149,0.8159044486487574,False,True,12,50,0.2
8,MMEA-QR,20,2,0.1,0.0,1.3822645490353507,7,0.006049999967217445,0.999974049445366,0.8156893065591149,0.8159044486487574,False,True,12,50,0.2
9,MOEA-QR,20,2,0.1,0.0,1.3822645490353531,6,0.0073830001056194305,0.9999740494453662,0.8156893065591114,0.815904448648754,False,True,12,50,0.2
10,FAST-LTS,20,2,0.1,0.0,49.266936456663686,4,0.0004810000136785675,0.9270237007108585,4.4074955584543085,4.450290966748937,False,True,12,50,0.2
11,FAST-LTS-MMEA-QR,20,2,0.1,0.0,49.26693645666369,5,0.004854000173509121,0.9270237007108583,4.407495558454308,4.450290966748936,False,True,12,50,0.2
12,FAST-LTS-MOEA-QR,20,2,0.1,0.0,49.2669364566637,2,0.0062409997917711735,0.9270237007108584,4.4074955584543085,4.450290966748937,False,True,12,50,0.2
13,MMEA-QR,20,2,0.1,0.0,49.2669364566637,4,0.005053999833762646,0.9270237007108583,4.4074955584543085,4.450290966748937,False,True,12,50,0.2
14,MOEA-QR,20,2,0.1,0.0,49.2669364566637,3,0.0060629998333752155,0.9270237007108585,4.4074955584543085,4.450290966748937,False,True,12,50,0.2
15,FAST-LTS,20,2,0.1,0.0,79.40484446348755,5,0.00043500000901985914,0.9953238908596307,1.4409236665080603,1.4468439494723966,False,True,12,50,0.2
16,FAST-LTS-MMEA-QR,20,2,0.1,0.0,79.40484446348752,8,0.0053889998234808445,0.9953238908596306,1.4409236665080625,1.4468439494723988,False,True,12,50,0.2
17,FAST-LTS-MOEA-QR,20,2,0.1,0.0,79.40484446348754,4,0.0071310000494122505,0.9953238908596307,1.4409236665080565,1.4468439494723928,False,True,12,50,0.2
18,MMEA-QR,20,2,0.1,0.0,79.40484446348754,4,0.005576999858021736,0.9953238908596307,1.4409236665080591,1.4468439494723955,False,True,12,50,0.2
