,algorithm,n,p,out,out_2model,rss,iter,time,cos,intercept_diff,l2,global_min,intercept,h_size,num_starts_subsets,leverage_ratio,tmp2,tmp4,tmp5,tmp6,tmp7,tmp8
0,FAST-LTS,20,3,0.1,0.0,39.680336361234275,4,0.00043300000470480876,0.9999545025889583,1.2540821213383713,1.2631727623317328,False,True,12,50,0.2,2,3,2,2.0,3,0.19999999999999996
1,FAST-LTS-MMEA-QR,20,3,0.1,0.0,39.68033636123421,1,0.005319000221788883,0.9999545025889583,1.2540821213383728,1.2631727623317344,False,True,12,50,0.2,1,3,1,0.5,3,-0.45
2,FAST-LTS-MOEA-QR,20,3,0.1,0.0,39.68033636123421,2,0.00774300005286932,0.9999545025889583,1.2540821213383733,1.2631727623317348,False,True,12,50,0.2,3,4,3,1.0,4,1.1
3,MMEA-QR,20,3,0.1,0.0,39.680336361234225,5,0.005096000153571367,0.9999545025889583,1.2540821213383728,1.2631727623317344,False,True,12,50,0.2,3,4,3,2.5,4,-0.25
4,MOEA-QR,20,3,0.1,0.0,39.680336361234225,4,0.0064719999209046355,0.9999545025889583,1.2540821213383728,1.2631727623317344,False,True,12,50,0.2,2,3,2,2.0,3,0.19999999999999996
5,FAST-LTS,20,3,0.1,0.0,2.406359947546097,5,0.00040699998498894274,0.9999945670585592,0.5588805391730552,0.5589027481477223,False,True,12,50,0.2,3,4,3,2.5,4,-0.25
6,FAST-LTS-MMEA-QR,20,3,0.1,0.0,1.3822645490353511,3,0.005295000039041042,0.9999740494453659,0.8156893065591122,0.8159044486487548,False,True,12,50,0.2,2,5,3,1.5,5,-0.3500000000000001
7,FAST-LTS-MOEA-QR,20,3,0.1,0.0,1.382264549035351,3,0.007269000168889761,0.9999740494453659,0.8156893065591149,0.8159044486487574,False,True,12,50,0.2,3,5,4,1.1999999999999993,5,2.920000000000001
8,MMEA-QR,20,3,0.1,0.0,1.382264549035351,7,0.006049999967217445,0.9999740494453659,0.8156893065591149,0.8159044486487574,False,True,12,50,0.2,4,6,4,3.5,6,0.8500000000000001
9,MOEA-QR,20,3,0.1,0.0,1.3822645490353531,6,0.00738300010561943,0.9999740494453662,0.8156893065591114,0.8159044486487541,False,True,12,50,0.2,3,5,4,3.0,5,0.2999999999999998
10,FAST-LTS,20,3,0.1,0.0,49.266936456663686,4,0.0004810000136785675,0.9270237007108584,4.4074955584543085,4.450290966748937,False,True,12,50,0.2,2,3,2,2.0,3,0.19999999999999996
11,FAST-LTS-MMEA-QR,20,3,0.1,0.0,49.266936456663686,1,0.004854000173509121,0.9270237007108584,4.4074955584543085,4.450290966748937,False,True,12,50,0.2,1,4,1,0.5,4,1.55
12,FAST-LTS-MOEA-QR,20,3,0.1,0.0,49.26693645666371,1,0.006240999791771174,0.9270237007108584,4.4074955584543085,4.450290966748937,False,True,12,50,0.2,1,2,1,0.3999999999999999,2,0.6400000000000001
13,MMEA-QR,20,3,0.1,0.0,49.26693645666371,4,0.005053999833762646,0.9270237007108584,4.4074955584543085,4.450290966748937,False,True,12,50,0.2,2,3,2,2.0,3,0.19999999999999996
14,MOEA-QR,20,3,0.1,0.0,49.26693645666371,3,0.0060629998333752155,0.9270237007108584,4.4074955584543085,4.450290966748937,False,True,12,50,0.2,2,3,2,1.5,3,0.6499999999999999
15,FAST-LTS,20,3,0.1,0.0,79.40484446348755,5,0.0004350000090198592,0.9953238908596308,1.4409236665080605,1.4468439494723966,False,True,12,50,0.2,3,4,3,2.5,4,-0.25
16,FAST-LTS-MMEA-QR,20,3,0.1,0.0,79.40484446348752,3,0.005388999823480845,0.9953238908596306,1.4409236665080625,1.4468439494723988,False,True,12,50,0.2,2,6,3,1.5,6,0.6499999999999999
17,FAST-LTS-MOEA-QR,20,3,0.1,0.0,79.40484446348755,0,0.00713100004941225,0.9953238908596308,1.4409236665080565,1.4468439494723928,False,True,12,50,0.2,2,3,2,0.7999999999999998,3,-0.7199999999999999
18,MMEA-QR,20,3,0.1,0.0,79.40484446348755,4,0.005576999858021736,0.9953238908596308,1.4409236665080591,1.4468439494723957,False,True,12,50,0.2,2,3,2,2.0,3,0.19999999999999996
19,MOEA-QR,20,3,0.1,0.0,79.40484446348755,5,0.0071970000863075265,0.9953238908596308,1.4409236665080618,1.4468439494723984,False,True,12,50,0.2,3,4,3,2.5,4,0.75
20,FAST-LTS,20,3,0.1,0.0,28.488573857302512,6,0.00042200000461889436,0.9952215286883308,4.318088692407598,4.3217401829564865,False,True,12,50,0.2,3,5,3,3.0,5,0.2999999999999998
21,FAST-LTS-MMEA-QR,20,3,0.1,0.0,28.48857385730244,1,0.0050169997848570356,0.9952215286883309,4.318088692407594,4.321740182956483,False,True,12,50,0.2,1,4,1,0.5,4,-0.45
22,FAST-LTS-MOEA-QR,20,3,0.1,0.0,28.48857385730244,1,0.006788999773561954,0.9952215286883308,4.318088692407595,4.321740182956484,False,True,12,50,0.2,3,4,3,1.0,4,0.09999999999999998
23,MMEA-QR,20,3,0.1,0.0,28.48857385730243,5,0.005671999882906675,0.9952215286883308,4.318088692407595,4.321740182956484,False,True,12,50,0.2,3,4,3,2.5,4,-0.25
24,MOEA-QR,20,3,0.1,0.0,28.48857385730244,4,0.007393000181764364,0.9952215286883309,4.318088692407594,4.321740182956483,False,True,12,50,0.2,2,3,2,2.0,3,0.19999999999999996
25,FAST-LTS,20,3,0.1,0.0,1.4260093427732394,3,0.0004589999916788656,0.9998529237570296,0.28741083314254995,0.2887245347013821,False,True,12,50,0.2,2,3,2,1.5,3,-0.3500000000000001
26,FAST-LTS-MMEA-QR,20,3,0.1,0.0,1.4260093427732323,4,0.0061739999800920495,0.9998529237570296,0.2874108331425457,0.2887245347013779,False,True,12,50,0.2,2,5,4,2.0,5,2.2
27,FAST-LTS-MOEA-QR,20,3,0.1,0.0,1.4260093427732328,3,0.008941999636590479,0.9998529237570296,0.2874108331425455,0.2887245347013777,False,True,12,50,0.2,3,4,3,1.0,4,2.1
28,MMEA-QR,20,3,0.1,0.0,1.4260093427732352,5,0.005650999955832958,0.9998529237570296,0.28741083314254884,0.28872453470138104,False,True,12,50,0.2,3,4,3,2.5,4,-0.25
29,MOEA-QR,20,3,0.1,0.0,1.4260093427732312,5,0.0066349999979138366,0.9998529237570296,0.2874108331425453,0.28872453470137743,False,True,12,50,0.2,3,4,3,2.5,4,-0.25
30,FAST-LTS,20,3,0.1,0.0,4.9964710308104765,5,0.00042799999573617237,0.9999641755012366,0.6149300897177132,0.6150660238500382,False,True,12,50,0.2,3,4,3,2.5,4,-0.25
31,FAST-LTS-MMEA-QR,20,3,0.1,0.0,4.996471030810449,3,0.004815000109374522,0.9999641755012364,0.6149300897177068,0.6150660238500317,False,True,12,50,0.2,1,4,3,1.5,4,1.65
32,FAST-LTS-MOEA-QR,20,3,0.1,0.0,4.996471030810451,1,0.00598399993032217,0.9999641755012364,0.6149300897177101,0.6150660238500351,False,True,12,50,0.2,4,6,4,1.3999999999999995,6,0.7400000000000004
33,MMEA-QR,20,3,0.1,0.0,4.996471030810451,5,0.004970999900251627,0.9999641755012364,0.6149300897177101,0.6150660238500351,False,True,12,50,0.2,3,4,3,2.5,4,0.75
34,MOEA-QR,20,3,0.1,0.0,4.996471030810445,4,0.006577000021934509,0.9999641755012364,0.6149300897177106,0.6150660238500355,False,True,12,50,0.2,2,3,2,2.0,3,0.19999999999999996
35,FAST-LTS,20,3,0.1,0.0,1.9116791800899176,3,0.0004029999963677256,0.9999163000048544,0.008610512550786709,0.03136575863103247,False,True,12,50,0.2,2,3,2,1.5,3,0.6499999999999999
36,FAST-LTS-MMEA-QR,20,3,0.1,0.0,1.7912166556265126,1,0.0066019999794662,0.9998395479617928,0.1810549593058488,0.18373953920560807,False,True,12,50,0.2,1,3,1,0.5,3,1.55
37,FAST-LTS-MOEA-QR,20,3,0.1,0.0,1.791216655626512,1,0.008647999726235867,0.9998395479617928,0.18105495930584906,0.18373953920560832,False,True,12,50,0.2,2,3,2,0.5999999999999996,3,0.4600000000000003
38,MMEA-QR,20,3,0.1,0.0,1.7912166556265134,6,0.0070179998874664315,0.9998395479617928,0.1810549593058517,0.18373953920561095,False,True,12,50,0.2,3,5,4,3.0,5,0.2999999999999998
39,MOEA-QR,20,3,0.1,0.0,1.7912166556265119,7,0.007176999934017658,0.9998395479617928,0.18105495930584914,0.18373953920560845,False,True,12,50,0.2,4,6,5,3.5,6,1.85
40,FAST-LTS,20,3,0.1,0.0,138.0753413095569,4,0.0005429999928310282,0.9979746653671822,4.362150958567707,4.366724440819112,False,True,12,50,0.2,2,3,2,2.0,3,0.19999999999999996
41,FAST-LTS-MMEA-QR,20,3,0.1,0.0,77.92361292440988,2,0.005464000161737204,0.9982130951112221,3.2208981802922083,3.2221958815597858,False,True,12,50,0.2,1,4,2,1.0,4,0.09999999999999998
42,FAST-LTS-MOEA-QR,20,3,0.1,0.0,77.92361292440985,2,0.006690999958664179,0.9982130951112221,3.220898180292205,3.222195881559783,False,True,12,50,0.2,3,4,3,1.0,4,1.1
43,MMEA-QR,20,3,0.1,0.0,77.92361292440988,7,0.005319000221788883,0.9982130951112221,3.2208981802922096,3.2221958815597875,False,True,12,50,0.2,4,6,4,3.5,6,1.85
44,MOEA-QR,20,3,0.1,0.0,77.92361292440985,5,0.006885000038892032,0.9982130951112221,3.2208981802922105,3.2221958815597884,False,True,12,50,0.2,3,4,3,2.5,4,0.75
45,FAST-LTS,20,3,0.1,0.0,38.82728783227674,5,0.0004149999913352076,0.9962433195363206,0.013988166516715859,0.13098256964382765,False,True,12,50,0.2,3,4,3,2.5,4,-0.25
46,FAST-LTS-MMEA-QR,20,3,0.1,0.0,38.827287832276674,2,0.005222000181674957,0.9962433195363206,0.013988166516713195,0.13098256964382715,False,True,12,50,0.2,1,3,2,1.0,3,1.1
47,FAST-LTS-MOEA-QR,20,3,0.1,0.0,38.82728783227668,1,0.006659999955445528,0.9962433195363208,0.013988166516715195,0.13098256964382668,False,True,12,50,0.2,2,3,2,0.7999999999999998,3,0.28000000000000014
48,MMEA-QR,20,3,0.1,0.0,38.82728783227669,4,0.0049530002288520345,0.9962433195363206,0.013988166516716529,0.13098256964382846,False,True,12,50,0.2,2,3,2,2.0,3,0.19999999999999996
49,MOEA-QR,20,3,0.1,0.0,38.827287832276696,6,0.006754000205546618,0.9962433195363206,0.013988166516712974,0.1309825696438279,False,True,12,50,0.2,3,5,3,3.0,5,0.2999999999999998
50,FAST-LTS,100,4,0.1,0.0,54.6544097260832,4,0.0012719999940600244,0.9993041962192472,0.6412883675877241,0.6446400613921549,False,True,52,50,0.2,2,3,2,2.0,3,0.19999999999999996
51,FAST-LTS-MMEA-QR,100,4,0.1,0.0,51.01430945449365,17,0.11661799997091292,0.9991842321695672,0.8244099641832155,0.8275315496974565,False,True,52,50,0.2,6,21,17,8.5,21,0.34999999999999964
52,FAST-LTS-MOEA-QR,100,4,0.1,0.0,51.01430945449365,1,0.2945789992809296,0.9991842321695672,0.824409964183218,0.8275315496974589,False,True,52,50,0.2,12,18,15,4.799999999999997,18,0.6800000000000024
53,MMEA-QR,100,4,0.1,0.0,51.014309454493656,28,0.11325199902057648,0.9991842321695672,0.8244099641832154,0.8275315496974563,False,True,52,50,0.2,14,21,19,14.0,21,6.4
54,MOEA-QR,100,4,0.1,0.0,51.014309454493635,27,0.28767699003219604,0.9991842321695674,0.8244099641832182,0.8275315496974591,False,True,52,50,0.2,14,21,15,13.5,21,0.8499999999999996
55,FAST-LTS,100,4,0.1,0.0,25.869233132558232,13,0.001229999994393438,0.9996968744860611,0.5100679882836674,0.512226712497718,False,True,52,50,0.2,7,10,8,6.5,10,0.14999999999999947
56,FAST-LTS-MMEA-QR,100,4,0.1,0.0,25.47188200531302,11,0.12540599703788755,0.9995798272628744,0.6076330517986477,0.6101336300749312,False,True,52,50,0.2,7,24,11,5.5,24,9.05
57,FAST-LTS-MOEA-QR,100,4,0.1,0.0,25.47188200531301,6,0.3226499855518341,0.9995798272628744,0.6076330517986461,0.6101336300749296,False,True,52,50,0.2,18,27,20,7.199999999999999,27,5.5200000000000005
58,MMEA-QR,100,4,0.1,0.0,25.47188200531301,28,0.12933200597763062,0.9995798272628744,0.6076330517986471,0.6101336300749306,False,True,52,50,0.2,14,21,14,14.0,21,2.4000000000000004
59,MOEA-QR,100,4,0.1,0.0,25.47188200531301,29,0.32208600640296936,0.9995798272628744,0.6076330517986495,0.6101336300749329,False,True,52,50,0.2,15,22,17,14.5,22,1.9499999999999993
60,FAST-LTS,100,4,0.1,0.0,62.35450348346965,7,0.0010709999914979562,0.9988457275883508,0.27473549735541913,0.2875001499793601,False,True,52,50,0.2,4,6,4,3.5,6,0.8500000000000001
61,FAST-LTS-MMEA-QR,100,4,0.1,0.0,62.35450348346964,10,0.11815200001001358,0.9988457275883508,0.2747354973554178,0.28750014997935874,False,True,52,50,0.2,7,25,10,5.0,25,3.5
