,algorithm,n,p,out,out_2model,rss,iter,time,cos,intercept_diff,l2,global_min,intercept,h_size,num_starts_subsets,leverage_ratio
0,FAST-LTS,20,2,0.1,0.0,39.680336361234275,4,0.00043300000470480876,0.9999545025889583,1.2540821213383713,1.2631727623317328,False,True,12,50,0.2
3,MMEA-QR,20,2,0.1,0.0,39.680336361234225,5,0.005096000153571367,0.9999545025889583,1.2540821213383728,1.2631727623317344,False,True,12,50,0.2
4,MOEA-QR,20,2,0.1,0.0,39.680336361234225,4,0.0064719999209046355,0.9999545025889583,1.2540821213383728,1.2631727623317344,False,True,12,50,0.2
5,FAST-LTS,20,2,0.1,0.0,2.406359947546097,5,0.00040699998498894274,0.9999945670585592,0.5588805391730552,0.5589027481477223,False,True,12,50,0.2
8,MMEA-QR,20,2,0.1,0.0,1.382264549035351,7,0.006049999967217445,0.9999740494453659,0.8156893065591149,0.8159044486487574,False,True,12,50,0.2
9,MOEA-QR,20,2,0.1,0.0,1.3822645490353531,6,0.00738300010561943,0.9999740494453662,0.8156893065591114,0.8159044486487541,False,True,12,50,0.2
10,FAST-LTS,20,2,0.1,0.0,49.266936456663686,4,0.0004810000136785675,0.9270237007108584,4.4074955584543085,4.450290966748937,False,True,12,50,0.2
13,MMEA-QR,20,2,0.1,0.0,49.26693645666371,4,0.005053999833762646,0.9270237007108584,4.4074955584543085,4.450290966748937,False,True,12,50,0.2
14,MOEA-QR,20,2,0.1,0.0,49.26693645666371,3,0.0060629998333752155,0.9270237007108584,4.4074955584543085,4.450290966748937,False,True,12,50,0.2
15,FAST-LTS,20,2,0.1,0.0,79.40484446348755,5,0.0004350000090198592,0.9953238908596308,1.4409236665080605,1.4468439494723966,False,True,12,50,0.2
18,MMEA-QR,20,2,0.1,0.0,79.40484446348755,4,0.005576999858021736,0.9953238908596308,1.4409236665080591,1.4468439494723957,False,True,12,50,0.2
19,MOEA-QR,20,2,0.1,0.0,79.40484446348755,5,0.0071970000863075265,0.9953238908596308,1.4409236665080618,1.4468439494723984,False,True,12,50,0.2
20,FAST-LTS,20,2,0.1,0.0,28.488573857302512,6,0.00042200000461889436,0.9952215286883308,4.318088692407598,4.3217401829564865,False,True,12,50,0.2
23,MMEA-QR,20,2,0.1,0.0,28.48857385730243,5,0.005671999882906675,0.9952215286883308,4.318088692407595,4.321740182956484,False,True,12,50,0.2
24,MOEA-QR,20,2,0.1,0.0,28.48857385730244,4,0.007393000181764364,0.9952215286883309,4.318088692407594,4.321740182956483,False,True,12,50,0.2
25,FAST-LTS,20,2,0.1,0.0,1.4260093427732394,3,0.0004589999916788656,0.9998529237570296,0.28741083314254995,0.2887245347013821,False,True,12,50,0.2
28,MMEA-QR,20,2,0.1,0.0,1.4260093427732352,5,0.005650999955832958,0.9998529237570296,0.28741083314254884,0.28872453470138104,False,True,12,50,0.2
29,MOEA-QR,20,2,0.1,0.0,1.4260093427732312,5,0.0066349999979138366,0.9998529237570296,0.2874108331425453,0.28872453470137743,False,True,12,50,0.2
30,FAST-LTS,20,2,0.1,0.0,4.9964710308104765,5,0.00042799999573617237,0.9999641755012366,0.6149300897177132,0.6150660238500382,False,True,12,50,0.2
33,MMEA-QR,20,2,0.1,0.0,4.996471030810451,5,0.004970999900251627,0.9999641755012364,0.6149300897177101,0.6150660238500351,False,True,12,50,0.2
34,MOEA-QR,20,2,0.1,0.0,4.996471030810445,4,0.006577000021934509,0.9999641755012364,0.6149300897177106,0.6150660238500355,False,True,12,50,0.2
35,FAST-LTS,20,2,0.1,0.0,1.9116791800899176,3,0.0004029999963677256,0.9999163000048544,0.008610512550786709,0.03136575863103247,False,True,12,50,0.2
38,MMEA-QR,20,2,0.1,0.0,1.7912166556265134,6,0.0070179998874664315,0.9998395479617928,0.1810549593058517,0.18373953920561095,False,True,12,50,0.2
39,MOEA-QR,20,2,0.1,0.0,1.7912166556265119,7,0.007176999934017658,0.9998395479617928,0.18105495930584914,0.18373953920560845,False,True,12,50,0.2
40,FAST-LTS,20,2,0.1,0.0,138.0753413095569,4,0.0005429999928310282,0.9979746653671822,4.362150958567707,4.366724440819112,False,True,12,50,0.2
43,MMEA-QR,20,2,0.1,0.0,77.92361292440988,7,0.005319000221788883,0.9982130951112221,3.2208981802922096,3.2221958815597875,False,True,12,50,0.2
44,MOEA-QR,20,2,0.1,0.0,77.92361292440985,5,0.006885000038892032,0.9982130951112221,3.2208981802922105,3.2221958815597884,False,True,12,50,0.2
45,FAST-LTS,20,2,0.1,0.0,38.82728783227674,5,0.0004149999913352076,0.9962433195363206,0.013988166516715859,0.13098256964382765,False,True,12,50,0.2
48,MMEA-QR,20,2,0.1,0.0,38.82728783227669,4,0.0049530002288520345,0.9962433195363206,0.013988166516716529,0.13098256964382846,False,True,12,50,0.2
49,MOEA-QR,20,2,0.1,0.0,38.827287832276696,6,0.006754000205546618,0.9962433195363206,0.013988166516712974,0.1309825696438279,False,True,12,50,0.2
50,FAST-LTS,100,3,0.1,0.0,54.6544097260832,4,0.0012719999940600244,0.9993041962192472,0.6412883675877241,0.6446400613921549,False,True,52,50,0.2
53,MMEA-QR,100,3,0.1,0.0,51.014309454493656,28,0.11325199902057648,0.9991842321695672,0.8244099641832154,0.8275315496974563,False,True,52,50,0.2
