,algorithm,n,p,out,out_2model,rss,iter,time,cos,intercept_diff,l2,global_min,intercept,h_size,num_starts_subsets,leverage_ratio
0,RBSA,20,2,0.1,0.0,19.486713666443958,777,0.03866000100970268,0.9998069551874333,1.0553688830187322,1.055759226605609,False,True,12,1000,0.2
1,RANDOM,20,2,0.1,0.0,31.76162191126565,0,0.0020630001090466976,0.9994649493793099,0.9131521834123801,0.9143694462364912,False,True,12,1000,0.2
2,MMEA-QR,20,2,0.1,0.0,19.486713666443933,6,0.00014099999680183828,0.9998069551874331,1.0553688830187293,1.0557592266056062,False,True,12,1000,0.2
3,FAST-LTS,20,2,0.1,0.0,19.48671366644393,3,0.000828999989607837,0.9998069551874333,1.0553688830187289,1.0557592266056057,False,True,12,1000,0.2
4,RBSA,20,2,0.1,0.0,3.651946890078119,721,0.03942200168967247,0.9999998270561492,0.46573585496875036,0.4726497651413448,False,True,12,1000,0.2
5,RANDOM,20,2,0.1,0.0,10.64363545693269,0,0.002171000000089407,0.9999829523926748,0.22821854156274796,0.2286442280374552,False,True,12,1000,0.2
6,MMEA-QR,20,2,0.1,0.0,3.6519468900781114,5,0.00011500000255182385,0.9999998270561492,0.46573585496875125,0.4726497651413457,False,True,12,1000,0.2
7,FAST-LTS,20,2,0.1,0.0,3.6519468900781136,4,0.0008109999944281299,0.9999998270561492,0.4657358549687519,0.4726497651413464,False,True,12,1000,0.2
8,RBSA,20,2,0.1,0.0,93.7286974814661,693,0.03638700023293495,0.9154885344789117,0.93515119824088,1.095343496506292,False,True,12,1000,0.2
9,RANDOM,20,2,0.1,0.0,121.98769618528215,0,0.002391000045463443,0.9961327731339917,0.8349575019302078,0.8518287782170986,False,True,12,1000,0.2
10,MMEA-QR,20,2,0.1,0.0,79.11084659638715,4,0.00010099999781232327,0.9583778421540212,0.9179350846073593,0.9994601941026092,False,True,12,1000,0.2
11,FAST-LTS,20,2,0.1,0.0,58.08677490741085,3,0.0007929999846965075,0.9836863387023725,1.3932491172686898,1.4158177633780014,False,True,12,1000,0.2
12,RBSA,20,2,0.1,0.0,70.26474951492459,546,0.03513500094413757,0.9578787441265417,0.17618072927581319,0.44708320732711887,False,True,12,1000,0.2
13,RANDOM,20,2,0.1,0.0,124.02532419920709,0,0.0021069999784231186,0.9968476312154331,0.26953417970591026,0.2911435179155066,False,True,12,1000,0.2
14,MMEA-QR,20,2,0.1,0.0,83.69113882037439,4,9.699999645818025e-05,0.9917204833657752,0.5372768428476178,0.5658232162899114,False,True,12,1000,0.2
15,FAST-LTS,20,2,0.1,0.0,70.26474951492462,4,0.0007900000182416989,0.9578787441265414,0.17618072927581285,0.4470832073271189,False,True,12,1000,0.2
16,RBSA,20,2,0.1,0.0,4.149910034493021,756,0.03573799878358841,0.9967297680625801,0.12193686004238824,0.16394164233377267,False,True,12,1000,0.2
17,RANDOM,20,2,0.1,0.0,23.024448356223587,0,0.0020520000252872705,0.9986208838994092,0.6490296819210211,0.6529652729603064,False,True,12,1000,0.2
18,MMEA-QR,20,2,0.1,0.0,4.149910034493047,5,0.0001230000052601099,0.9967297680625801,0.12193686004238757,0.16394164233377212,False,True,12,1000,0.2
