idx,cnt,rss,step
0,0.0,11987.688969554012,0.0
1,0.0,6741.55942304766,1.0
2,0.0,4822.643422179888,2.0
3,0.0,3737.606169063848,3.0
4,0.0,2672.002881483246,4.0
5,0.0,2228.926046935061,5.0
6,0.0,2144.3850636316047,6.0
7,0.0,2087.252799867637,7.0
8,0.0,1952.6867169872887,8.0
9,0.0,1911.248433655944,9.0
10,0.0,1911.2484336559407,10.0
0,1.0,12506.712101067382,0.0
1,1.0,5841.4976961141065,1.0
2,1.0,3535.1019994168687,2.0
3,1.0,3254.3788366513686,3.0
4,1.0,2954.8928791038456,4.0
5,1.0,2908.2875905667856,5.0
6,1.0,2908.2875905667856,6.0
0,2.0,10635.670905559762,0.0
1,2.0,5237.61445638784,1.0
2,2.0,3681.1950187133075,2.0
3,2.0,2722.236123992803,3.0
4,2.0,2492.0574461234055,4.0
5,2.0,2309.3577853824468,5.0
6,2.0,2214.730079985562,6.0
7,2.0,2188.0536139609035,7.0
8,2.0,2188.053613960904,8.0
0,3.0,24370.9151226291,0.0
1,3.0,9504.968697390954,1.0
2,3.0,5778.949437890537,2.0
3,3.0,5177.303048089773,3.0
4,3.0,4757.988655328551,4.0
5,3.0,4716.564501368264,5.0
6,3.0,4673.56326264773,6.0
7,3.0,4673.563262647731,7.0
0,4.0,5625.1243824536305,0.0
1,4.0,3433.470136615896,1.0
2,4.0,2435.95295559483,2.0
3,4.0,2117.4408814374924,3.0
4,4.0,1974.517850604096,4.0
5,4.0,1956.9732755311386,5.0
6,4.0,1956.9732755311368,6.0
0,5.0,6490.783683924101,0.0
1,5.0,4188.074853196476,1.0
2,5.0,3224.156827133302,2.0
3,5.0,2681.8486427690145,3.0
4,5.0,2457.2655961367423,4.0
5,5.0,2091.659968506762,5.0
6,5.0,2023.383805292603,6.0
7,5.0,1952.3782596943026,7.0
8,5.0,1877.1976141763976,8.0
9,5.0,1877.1976141763964,9.0
0,6.0,14221.5645640601,0.0
1,6.0,5690.473751777322,1.0
2,6.0,3502.923445989422,2.0
3,6.0,2760.226468453457,3.0
4,6.0,2629.5457725867905,4.0
5,6.0,2498.9303565780906,5.0
6,6.0,2498.9303565780915,6.0
0,7.0,32694.143747259677,0.0
1,7.0,15040.822331753978,1.0
2,7.0,10034.71860722443,2.0
3,7.0,7299.134075201264,3.0
4,7.0,5649.6054407446145,4.0
5,7.0,4555.562475483206,5.0
6,7.0,3591.6490276509767,6.0
7,7.0,3138.554037412455,7.0
8,7.0,2955.8634607352187,8.0
9,7.0,2847.446965536115,9.0
10,7.0,2745.855271027116,10.0
11,7.0,2718.428870231601,11.0
12,7.0,2718.4288702316003,12.0
0,8.0,13284.855021324312,0.0
1,8.0,6222.070167441909,1.0
2,8.0,4149.782364252505,2.0
3,8.0,3256.7835959948343,3.0
4,8.0,2880.627097864994,4.0
5,8.0,2611.098663056382,5.0
6,8.0,2481.2326391288425,6.0
7,8.0,2435.286008069452,7.0
8,8.0,2348.220324402812,8.0
9,8.0,2214.084936210728,9.0
10,8.0,2107.322735091639,10.0
11,8.0,2077.9074110251318,11.0
12,8.0,2033.9905233732275,12.0
13,8.0,2033.9905233732275,13.0
0,9.0,23291.94793214166,0.0
1,9.0,12762.876410074457,1.0
2,9.0,8833.175788306342,2.0
3,9.0,6174.539928400633,3.0
4,9.0,5592.108880192564,4.0
5,9.0,5177.063347860789,5.0
6,9.0,4569.253154728248,6.0
7,9.0,3382.2256176690616,7.0
8,9.0,2801.5217525658386,8.0
9,9.0,2750.3433487447437,9.0
10,9.0,2677.002469793654,10.0
11,9.0,2648.974501283718,11.0
12,9.0,2648.9745012837175,12.0
0,10.0,7830.751187292179,0.0
1,10.0,4505.169105837725,1.0
2,10.0,2683.655349806625,2.0
3,10.0,2294.9655589520494,3.0
4,10.0,2279.3646505599713,4.0
5,10.0,2180.642921693166,5.0
6,10.0,2168.6466008371312,6.0
7,10.0,2168.6466008371317,7.0
0,11.0,16454.273279695106,0.0
1,11.0,8282.69923979063,1.0
2,11.0,6743.850136436047,2.0
3,11.0,6009.6436186366645,3.0
4,11.0,4219.895282122964,4.0
5,11.0,2970.0058841007167,5.0
6,11.0,2447.9007849285495,6.0
7,11.0,2019.6870085585924,7.0
8,11.0,1958.2732714263063,8.0
9,11.0,1909.2001561538327,9.0
10,11.0,1909.2001561538334,10.0
0,12.0,30598.00727495354,0.0
1,12.0,11807.609354466296,1.0
2,12.0,5520.093023436294,2.0
3,12.0,3919.278737479272,3.0
4,12.0,3274.7153565092462,4.0
5,12.0,2848.058503142476,5.0
6,12.0,2771.6073506872303,6.0
7,12.0,2708.1956496790995,7.0
8,12.0,2708.1956496790995,8.0
0,13.0,9355.203090018244,0.0
1,13.0,7990.02128884583,1.0
2,13.0,5547.337075146896,2.0
3,13.0,3385.0983701057867,3.0
4,13.0,2575.375454175195,4.0
5,13.0,2191.613519788964,5.0
6,13.0,2083.9643358890244,6.0
7,13.0,2000.1307496032432,7.0
8,13.0,1975.645520752606,8.0
9,13.0,1945.661289455952,9.0
10,13.0,1945.661289455951,10.0
0,14.0,12328.747265999513,0.0
1,14.0,4645.762307809173,1.0
2,14.0,4008.9251758949526,2.0
3,14.0,3385.2795181133906,3.0
4,14.0,3124.91770461495,4.0
5,14.0,3028.284501010818,5.0
6,14.0,2824.0070342630383,6.0
7,14.0,2589.1476954688565,7.0
8,14.0,2356.577151314351,8.0
9,14.0,2144.060297614965,9.0
10,14.0,2045.7896705633564,10.0
11,14.0,1858.68054845281,11.0
12,14.0,1849.764237262833,12.0
13,14.0,1849.764237262833,13.0
0,15.0,10369.708857041014,0.0
1,15.0,6435.675262736142,1.0
2,15.0,5153.382555948762,2.0
3,15.0,4570.862002926196,3.0
4,15.0,4004.4742677502336,4.0
5,15.0,3606.7228590532,5.0
6,15.0,3471.939385943014,6.0
7,15.0,3063.3579078677744,7.0
8,15.0,2794.045515232463,8.0
9,15.0,2677.8565137740084,9.0
10,15.0,2648.974501283717,10.0
11,15.0,2648.9745012837175,11.0
0,16.0,25204.20264919645,0.0
1,16.0,7238.141059323118,1.0
2,16.0,4010.088235959373,2.0
3,16.0,3175.8992204271003,3.0
4,16.0,2402.3017438948937,4.0
5,16.0,2363.1929808111795,5.0
6,16.0,2345.4680229574274,6.0
7,16.0,2345.4680229574283,7.0
0,17.0,18758.87789729411,0.0
1,17.0,7505.8868323019815,1.0
2,17.0,3917.2051557164236,2.0
3,17.0,3302.143934515947,3.0
4,17.0,2684.15231715435,4.0
5,17.0,2567.3553858957553,5.0
6,17.0,2488.758929212311,6.0
7,17.0,2378.233217206128,7.0
8,17.0,2353.310087412753,8.0
9,17.0,2353.3100874127535,9.0
0,18.0,12590.84064648784,0.0
1,18.0,8659.68243514878,1.0
2,18.0,5443.5751256818985,2.0
3,18.0,4180.335276002994,3.0
4,18.0,2937.7777057929825,4.0
5,18.0,2611.396185404067,5.0
6,18.0,2423.262396107439,6.0
7,18.0,2346.0526450554744,7.0
8,18.0,2335.8608178651225,8.0
9,18.0,2321.4495155448353,9.0
10,18.0,2254.589351278172,10.0
11,18.0,2234.0679598680454,11.0
12,18.0,2094.698087630062,12.0
13,18.0,2055.8519159474004,13.0
14,18.0,1949.4525249360736,14.0
15,18.0,1910.7348556049976,15.0
16,18.0,1887.7341276667441,16.0
17,18.0,1887.7341276667435,17.0
0,19.0,12516.862625450343,0.0
1,19.0,8442.517371594095,1.0
2,19.0,7195.404847703146,2.0
3,19.0,6547.551319798401,3.0
4,19.0,5498.730236691705,4.0
5,19.0,4696.864726796521,5.0
6,19.0,3850.929378493631,6.0
7,19.0,3431.1508209510116,7.0
8,19.0,3331.781786797121,8.0
9,19.0,3166.403325588826,9.0
10,19.0,3026.076249083838,10.0
11,19.0,2873.3280657880696,11.0
12,19.0,2820.5717719881686,12.0
13,19.0,2720.0276877084157,13.0
14,19.0,2709.2333245757018,14.0
15,19.0,2709.2333245757013,15.0
0,20.0,8139.842016002164,0.0
1,20.0,6731.979940288357,1.0
2,20.0,4275.532360057164,2.0
3,20.0,3216.774978302857,3.0
4,20.0,2632.3169274599923,4.0
5,20.0,2270.36044725279,5.0
6,20.0,2148.169747876088,6.0
7,20.0,2053.260867996326,7.0
8,20.0,2007.8598747470924,8.0
9,20.0,1990.3484001677657,9.0
10,20.0,1979.2547610051117,10.0
11,20.0,1979.2547610051108,11.0
0,21.0,6604.866343376894,0.0
1,21.0,3600.3171627306647,1.0
2,21.0,3092.5693327346467,2.0
3,21.0,2972.6232471283834,3.0
4,21.0,2699.8643914531544,4.0
5,21.0,2672.454910243853,5.0
6,21.0,2672.4549102438527,6.0
0,22.0,31895.918877563505,0.0
1,22.0,18007.507546654608,1.0
2,22.0,9158.785848094714,2.0
3,22.0,5717.875928283976,3.0
4,22.0,3806.3971338880638,4.0
5,22.0,2850.2066972447615,5.0
6,22.0,2540.410878470507,6.0
7,22.0,2394.2621999911503,7.0
8,22.0,2238.838840940938,8.0
9,22.0,2138.077265714469,9.0
10,22.0,2082.567719272616,10.0
11,22.0,2024.857440570941,11.0
12,22.0,1996.3633107320136,12.0
13,22.0,1996.3633107320143,13.0
0,23.0,12458.442384923412,0.0
1,23.0,6634.101331279103,1.0
2,23.0,4232.57454310647,2.0
3,23.0,3302.6012361834387,3.0
4,23.0,2548.2479011658975,4.0
5,23.0,2162.2735525047137,5.0
6,23.0,2162.273552504711,6.0
0,24.0,4715.3928242356915,0.0
1,24.0,3557.3587469695276,1.0
2,24.0,3070.9289086856766,2.0
3,24.0,2910.360073100143,3.0
4,24.0,2711.1981722502196,4.0
5,24.0,2553.8409634198265,5.0
6,24.0,2309.486221917346,6.0
7,24.0,2174.586134572898,7.0
8,24.0,2174.586134572898,8.0
0,25.0,16846.891387841657,0.0
1,25.0,8516.496783779015,1.0
2,25.0,4702.021452264306,2.0
3,25.0,2915.7269642485244,3.0
4,25.0,2544.6027033622395,4.0
5,25.0,2418.7681746773674,5.0
6,25.0,2357.637711294179,6.0
7,25.0,2348.4022612880326,7.0
8,25.0,2348.402261288033,8.0
0,26.0,28636.040519165657,0.0
1,26.0,16286.6113911347,1.0
2,26.0,10615.259367379684,2.0
3,26.0,8113.348393598107,3.0
4,26.0,6034.315671140833,4.0
5,26.0,4434.099058232173,5.0
6,26.0,3013.9977594208262,6.0
7,26.0,2696.1620221401763,7.0
8,26.0,2650.2653568348005,8.0
9,26.0,2650.265356834799,9.0
0,27.0,23930.1479631313,0.0
1,27.0,10803.213865259997,1.0
2,27.0,6533.691932206508,2.0
3,27.0,5712.500659829484,3.0
4,27.0,4974.687548916047,4.0
5,27.0,4216.974809780405,5.0
6,27.0,3477.321318899302,6.0
7,27.0,2815.09405151169,7.0
8,27.0,2642.956028150754,8.0
9,27.0,2568.276829466256,9.0
10,27.0,2476.966000088908,10.0
11,27.0,2381.258574880623,11.0
12,27.0,2326.5434019107256,12.0
13,27.0,2274.4901374389624,13.0
14,27.0,2194.4909897011803,14.0
15,27.0,2142.6317405316913,15.0
16,27.0,2120.2819582796596,16.0
17,27.0,2120.281958279659,17.0
0,28.0,22521.08544174089,0.0
1,28.0,9459.73337152643,1.0
2,28.0,5099.929387075248,2.0
3,28.0,4316.182687285233,3.0
4,28.0,3376.8236010473775,4.0
5,28.0,2918.328982378387,5.0
6,28.0,2725.722397805234,6.0
7,28.0,2545.7920714528204,7.0
8,28.0,2437.694534070667,8.0
9,28.0,2342.502437828095,9.0
10,28.0,2206.5451303515883,10.0
11,28.0,2192.692737445983,11.0
12,28.0,2175.401502131849,12.0
13,28.0,2137.486220312239,13.0
14,28.0,2078.178807464773,14.0
15,28.0,1995.4432511085383,15.0
16,28.0,1956.9732755311372,16.0
17,28.0,1956.9732755311368,17.0
0,29.0,24242.48793050391,0.0
1,29.0,6263.191548104964,1.0
2,29.0,3406.1445737882204,2.0
3,29.0,2605.4884246263077,3.0
4,29.0,2423.1551802754734,4.0
5,29.0,2280.988633916796,5.0
6,29.0,2128.8083601451185,6.0
7,29.0,2055.263244419872,7.0
8,29.0,2005.1220609781867,8.0
9,29.0,1953.017081079102,9.0
10,29.0,1925.4868248980074,10.0
11,29.0,1925.486824898008,11.0
0,30.0,19552.820191708248,0.0
1,30.0,4383.129371633655,1.0
2,30.0,3175.7243082965724,2.0
3,30.0,2712.6912385625633,3.0
4,30.0,2464.3912321187663,4.0
5,30.0,2266.3694728096425,5.0
6,30.0,2107.382751718085,6.0
7,30.0,2048.9100746215013,7.0
8,30.0,1980.9217500606458,8.0
9,30.0,1970.1311687314974,9.0
10,30.0,1970.1311687314985,10.0
0,31.0,12050.347248459017,0.0
1,31.0,8172.02066053648,1.0
2,31.0,5805.163782107062,2.0
3,31.0,3597.593924188381,3.0
4,31.0,2879.1132845255083,4.0
5,31.0,2525.373596021949,5.0
6,31.0,2322.1996790866465,6.0
7,31.0,2090.25702410865,7.0
8,31.0,2007.8598747470905,8.0
9,31.0,1990.3484001677657,9.0
10,31.0,1979.2547610051117,10.0
11,31.0,1979.2547610051108,11.0
0,32.0,17290.80872739566,0.0
1,32.0,5814.051451298629,1.0
2,32.0,3560.026843583748,2.0
3,32.0,3212.051288680118,3.0
4,32.0,2914.6907318878857,4.0
5,32.0,2635.0852642810596,5.0
6,32.0,2490.897390317311,6.0
7,32.0,2401.0617332288466,7.0
8,32.0,2318.8403362513423,8.0
9,32.0,2310.457418787446,9.0
10,32.0,2310.457418787446,10.0
0,33.0,14302.130446563948,0.0
1,33.0,6421.747478283618,1.0
2,33.0,3813.997816953048,2.0
3,33.0,3200.0471116010644,3.0
4,33.0,2804.372510232414,4.0
5,33.0,2670.322801412106,5.0
6,33.0,2591.2117088319756,6.0
7,33.0,2591.2117088319756,7.0
0,34.0,26682.18798686174,0.0
1,34.0,10125.426305290604,1.0
2,34.0,6742.129728395813,2.0
3,34.0,4490.421656216564,3.0
4,34.0,3552.0685259085512,4.0
5,34.0,3248.5519696033057,5.0
6,34.0,3008.9627596281543,6.0
7,34.0,2889.308899997015,7.0
8,34.0,2859.0587550949763,8.0
9,34.0,2775.487123440584,9.0
10,34.0,2685.9860791526526,10.0
11,34.0,2685.986079152653,11.0
0,35.0,4906.798043161399,0.0
1,35.0,3017.4422157716085,1.0
2,35.0,2529.3698326492345,2.0
3,35.0,2197.062986278914,3.0
4,35.0,2058.788787035677,4.0
5,35.0,2015.8682982490031,5.0
6,35.0,1973.5362406587753,6.0
7,35.0,1898.5199349189975,7.0
8,35.0,1881.6866293574656,8.0
9,35.0,1881.6866293574647,9.0
0,36.0,8309.709952061621,0.0
1,36.0,5836.56575188025,1.0
2,36.0,4687.012574414403,2.0
3,36.0,3692.570052488577,3.0
4,36.0,3309.9968636289723,4.0
5,36.0,3168.8157500551247,5.0
6,36.0,3051.7568965495507,6.0
7,36.0,2863.9180000845813,7.0
8,36.0,2509.7306667506246,8.0
9,36.0,2262.0975144557283,9.0
10,36.0,2206.6406818264113,10.0
11,36.0,2206.640681826412,11.0
0,37.0,16906.758951596006,0.0
1,37.0,7693.986370953042,1.0
2,37.0,5732.056816407947,2.0
3,37.0,3585.883510187302,3.0
4,37.0,2889.732634893837,4.0
5,37.0,2460.9720566625997,5.0
6,37.0,2407.5137271074454,6.0
7,37.0,2255.6553530636165,7.0
8,37.0,2031.587278118661,8.0
9,37.0,1997.1095525782248,9.0
10,37.0,1899.3192729089633,10.0
11,37.0,1878.148965669736,11.0
12,37.0,1861.8251067847193,12.0
13,37.0,1861.8251067847218,13.0
