,implementation,n,p,rss,iter,time,cos_ols,intercept
0,ltsPython,100,2,6.049539170377007,3,0.823871081,0.9999880131487602,True
1,ltsCpp,100,2,7.33493888214073,8,0.008967000234406441,0.999990554692184,True
2,ltsPython,100,3,8.710123969228391,4,0.7839865379999997,0.9996839796955043,True
3,ltsCpp,100,3,8.830301178829675,13,0.0099369999661576,0.9990717122939103,True
4,ltsPython,100,5,4.882263533115535,4,0.771737829000001,0.9997944397446494,True
5,ltsCpp,100,5,5.0714070371363995,6,0.011999999871477485,0.999840215472098,True
6,ltsPython,500,2,28.803933494396222,5,2.8211253560000005,0.9999945332291709,True
7,ltsCpp,500,2,28.80393349439637,5,0.03140000032726675,0.9999945332291709,True
8,ltsPython,500,3,39.00185845812579,9,2.6488429940000024,0.9999878355574827,True
9,ltsCpp,500,3,38.98538462051788,10,0.033266000100411475,0.999989271920033,True
10,ltsPython,500,5,30.123726925739383,12,2.6752886659999984,0.9999810303610922,True
11,ltsCpp,500,5,29.942287453255283,20,0.041344000259414315,0.9999790847100961,True
12,ltsPython,1000,2,71.86505992321719,7,5.868769926000002,0.9999622432305393,True
13,ltsCpp,1000,2,71.88026394932203,27,0.05862300097942352,0.9999688316442928,True
14,ltsPython,1000,5,69.21204722657042,16,5.252424229999999,0.9999870186414667,True
15,ltsCpp,1000,5,69.21692260865035,16,0.07707500085234642,0.9999872028379749,True
16,ltsPython,1000,10,66.95096819732035,19,27.193016502,0.9999733916193508,True
17,ltsCpp,1000,10,66.89397417350065,27,0.12271800450980663,0.9999718099350301,True
18,ltsPython,10000,2,708.0131929351542,26,364.02127982999997,0.9999983400650735,True
19,ltsCpp,10000,2,708.0131929351551,31,0.8853079751133919,0.9999983400650737,True
20,ltsPython,10000,5,685.0344925542092,29,306.80718716900003,0.9999967302121183,True
21,ltsCpp,10000,5,685.0344925542092,19,0.9999540150165558,0.9999967302121184,True
22,ltsPython,10000,10,711.1905382732488,35,276.704965902,0.9999954106491782,True
23,ltsCpp,10000,10,711.1980944408245,23,1.6105340123176575,0.9999955816480496,True
24,ltsPython,50000,2,3572.9174951860437,28,897.3261909520004,0.9999998514148352,True
25,ltsCpp,50000,2,3572.9164638375496,23,3.909698963165283,0.9999998644589976,True
26,ltsPython,50000,5,3561.7330125958533,30,862.2962033849999,0.999996771538929,True
27,ltsCpp,50000,5,3561.7323750490646,33,4.924324095249176,0.9999967832024167,True
