,algorithm,n,p,out,out_2model,rss,iter,time,intercept,h_size,max_steps,leverage_ratio
0,BAB,25,3,0.1,0.0,83.9359349980088,35328,0.07800000160932541,True,15,100,0.2
1,MOEA-QR-BAB,25,3,0.1,0.0,83.9359349980088,131790,0.17800000309944153,True,15,100,0.2
2,MOEA-QR-BSA,25,3,0.1,0.0,83.93593499800878,86340,14.586999893188477,True,15,100,0.2
3,BSA,25,3,0.1,0.0,83.93593499800878,86340,14.46399974822998,True,15,100,0.2
4,EXACT,25,3,0.1,0.0,83.93593499800883,0,11.168999671936035,True,15,100,0.2
5,BAB,25,3,0.1,0.0,1.0649699056230622,36417,0.07900000363588333,True,15,100,0.2
6,MOEA-QR-BAB,25,3,0.1,0.0,1.0649699056230622,121535,0.17399999499320984,True,15,100,0.2
7,MOEA-QR-BSA,25,3,0.1,0.0,1.064969905623041,120585,14.861000061035156,True,15,100,0.2
8,BSA,25,3,0.1,0.0,1.064969905623041,120585,14.439000129699707,True,15,100,0.2
9,EXACT,25,3,0.1,0.0,1.0649699056230644,0,11.29800033569336,True,15,100,0.2
10,BAB,25,3,0.1,0.0,115.74672123816636,62004,0.15600000321865082,True,15,100,0.2
11,MOEA-QR-BAB,25,3,0.1,0.0,115.74672123816636,292379,0.49399998784065247,True,15,100,0.2
12,MOEA-QR-BSA,25,3,0.1,0.0,115.74672123816632,78540,9.284000396728516,True,15,100,0.2
13,BSA,25,3,0.1,0.0,115.74672123816632,78540,9.232999801635742,True,15,100,0.2
14,EXACT,25,3,0.1,0.0,115.74672123816634,0,16.667999267578125,True,15,100,0.2
15,BAB,25,3,0.1,0.0,1.4076338569618403,18739,0.04600000008940697,True,15,100,0.2
16,MOEA-QR-BAB,25,3,0.1,0.0,1.4076338569618403,156894,0.23499999940395355,True,15,100,0.2
17,MOEA-QR-BSA,25,3,0.1,0.0,1.4076338569618423,58545,8.795999526977539,True,15,100,0.2
18,BSA,25,3,0.1,0.0,1.4076338569618423,58545,8.777999877929688,True,15,100,0.2
19,EXACT,25,3,0.1,0.0,1.4076338569618458,0,11.303999900817871,True,15,100,0.2
20,BAB,25,3,0.1,0.0,92.5530788650351,34456,0.07599999755620956,True,15,100,0.2
21,MOEA-QR-BAB,25,3,0.1,0.0,92.5530788650351,207493,0.289000004529953,True,15,100,0.2
22,MOEA-QR-BSA,25,3,0.1,0.0,92.55307886503506,69315,8.805999755859375,True,15,100,0.2
23,BSA,25,3,0.1,0.0,92.55307886503506,69315,8.88599967956543,True,15,100,0.2
24,EXACT,25,3,0.1,0.0,92.5530788650351,0,11.21399974822998,True,15,100,0.2
25,BAB,25,3,0.1,0.0,19.368524577849776,12523,0.032999999821186066,True,15,100,0.2
26,MOEA-QR-BAB,25,3,0.1,0.0,19.368524577849776,147979,0.19699999690055847,True,15,100,0.2
27,MOEA-QR-BSA,25,3,0.1,0.0,19.368524577849747,88890,8.979999542236328,True,15,100,0.2
