,algorithm,n,p,out,out_2model,rss,iter,time,intercept,h_size,max_steps,leverage_ratio
0,BAB,30,2,0.1,0.0,102.0406353019006,212016,0.4429999887943268,True,17,100,0.2
1,MOEA-QR-BAB,30,2,0.1,0.0,102.0406353019006,878292,1.0329999923706055,True,17,100,0.2
2,MOEA-QR-BSA,30,2,0.1,0.0,102.04063530190061,15848,1.4609999656677246,True,17,100,0.2
3,BSA,30,2,0.1,0.0,102.04063530190061,15848,1.4709999561309814,True,17,100,0.2
4,BAB,30,2,0.1,0.0,106.27545226198689,173529,0.27799999713897705,True,17,100,0.2
5,MOEA-QR-BAB,30,2,0.1,0.0,106.27545226198689,882377,1.121999979019165,True,17,100,0.2
6,MOEA-QR-BSA,30,2,0.1,0.0,106.27545226198687,14784,1.4759999513626099,True,17,100,0.2
7,BSA,30,2,0.1,0.0,106.27545226198687,14784,1.4900000095367432,True,17,100,0.2
8,BAB,30,2,0.1,0.0,30.956839951338484,319151,0.7239999771118164,True,17,100,0.2
9,MOEA-QR-BAB,30,2,0.1,0.0,30.956839951338484,2277162,3.700000047683716,True,17,100,0.2
10,MOEA-QR-BSA,30,2,0.1,0.0,30.956839951338438,15484,1.4800000190734863,True,17,100,0.2
11,BSA,30,2,0.1,0.0,30.956839951338438,15484,1.472000002861023,True,17,100,0.2
12,BAB,30,2,0.1,0.0,8.331849846294569,114397,0.18799999356269836,True,17,100,0.2
13,MOEA-QR-BAB,30,2,0.1,0.0,8.331849846294569,933839,1.2660000324249268,True,17,100,0.2
14,MOEA-QR-BSA,30,2,0.1,0.0,8.331849846294554,14210,1.4570000171661377,True,17,100,0.2
15,BSA,30,2,0.1,0.0,8.331849846294554,14210,1.4550000429153442,True,17,100,0.2
16,BAB,30,2,0.1,0.0,50.314043408132115,245507,0.42399999499320984,True,17,100,0.2
17,MOEA-QR-BAB,30,2,0.1,0.0,50.314043408132115,1368078,1.5720000267028809,True,17,100,0.2
18,MOEA-QR-BSA,30,2,0.1,0.0,50.31404340813216,13559,1.6740000247955322,True,17,100,0.2
19,BSA,30,2,0.1,0.0,50.31404340813216,13559,1.4550000429153442,True,17,100,0.2
20,BAB,30,2,0.1,0.0,24.95001753225105,141638,0.24500000476837158,True,17,100,0.2
21,MOEA-QR-BAB,30,2,0.1,0.0,24.95001753225103,1353229,1.718999981880188,True,17,100,0.2
22,MOEA-QR-BSA,30,2,0.1,0.0,24.95001753225102,12054,1.4600000381469727,True,17,100,0.2
23,BSA,30,2,0.1,0.0,24.95001753225102,12054,1.4889999628067017,True,17,100,0.2
24,BAB,30,2,0.1,0.0,92.431755650672,317453,0.527999997138977,True,17,100,0.2
25,MOEA-QR-BAB,30,2,0.1,0.0,92.431755650672,1674067,2.38700008392334,True,17,100,0.2
26,MOEA-QR-BSA,30,2,0.1,0.0,93.28379029899011,14056,1.4869999885559082,True,17,100,0.2
27,BSA,30,2,0.1,0.0,93.28379029899011,14056,1.4709999561309814,True,17,100,0.2
28,BAB,30,2,0.1,0.0,18.72863563963042,299751,0.5950000286102295,True,17,100,0.2
29,MOEA-QR-BAB,30,2,0.1,0.0,18.72863563963042,980479,1.253999948501587,True,17,100,0.2
30,MOEA-QR-BSA,30,2,0.1,0.0,18.72863563963042,16205,1.4809999465942383,True,17,100,0.2
31,BSA,30,2,0.1,0.0,18.72863563963042,16205,1.503999948501587,True,17,100,0.2
32,BAB,30,2,0.1,0.0,5.516522674948342,174372,0.2720000147819519,True,17,100,0.2
33,MOEA-QR-BAB,30,2,0.1,0.0,5.516522674948342,1737729,2.246000051498413,True,17,100,0.2
34,MOEA-QR-BSA,30,2,0.1,0.0,5.516522674948362,13888,1.4639999866485596,True,17,100,0.2
35,BSA,30,2,0.1,0.0,5.516522674948362,13888,1.468000054359436,True,17,100,0.2
36,BAB,30,2,0.1,0.0,28.2340555737066,286257,0.5320000052452087,True,17,100,0.2
37,MOEA-QR-BAB,30,2,0.1,0.0,28.2340555737066,1267422,1.569000005722046,True,17,100,0.2
38,MOEA-QR-BSA,30,2,0.1,0.0,28.23405557370657,15778,1.4759999513626099,True,17,100,0.2
39,BSA,30,2,0.1,0.0,28.23405557370657,15778,1.4800000190734863,True,17,100,0.2
40,BAB,30,2,0.3,0.0,76.44603374317828,74765,0.18400000035762787,True,17,100,0.2
41,MOEA-QR-BAB,30,2,0.3,0.0,76.44603374317828,1094222,1.4570000171661377,True,17,100,0.2
42,MOEA-QR-BSA,30,2,0.3,0.0,76.44603374317825,17724,1.4869999885559082,True,17,100,0.2
43,BSA,30,2,0.3,0.0,76.44603374317825,17724,1.4930000305175781,True,17,100,0.2
44,BAB,30,2,0.3,0.0,6.251265171830774,118586,0.23499999940395355,True,17,100,0.2
45,MOEA-QR-BAB,30,2,0.3,0.0,6.251265171830774,728333,0.75,True,17,100,0.2
46,MOEA-QR-BSA,30,2,0.3,0.0,6.251265171830751,17738,1.4780000448226929,True,17,100,0.2
47,BSA,30,2,0.3,0.0,6.251265171830751,17738,1.4800000190734863,True,17,100,0.2
48,BAB,30,2,0.3,0.0,57.96490880764289,210730,0.44600000977516174,True,17,100,0.2
49,MOEA-QR-BAB,30,2,0.3,0.0,57.96490880764289,721801,0.7429999709129333,True,17,100,0.2
50,MOEA-QR-BSA,30,2,0.3,0.0,59.00033326402365,17983,1.4780000448226929,True,17,100,0.2
51,BSA,30,2,0.3,0.0,59.00033326402365,17983,1.5180000066757202,True,17,100,0.2
52,BAB,30,2,0.3,0.0,423.3272155348007,88676,0.13500000536441803,True,17,100,0.2
53,MOEA-QR-BAB,30,2,0.3,0.0,423.3272155348007,803396,0.9100000262260437,True,17,100,0.2
54,MOEA-QR-BSA,30,2,0.3,0.0,423.32721553480053,14042,1.5110000371932983,True,17,100,0.2
55,BSA,30,2,0.3,0.0,423.32721553480053,14042,1.4910000562667847,True,17,100,0.2
56,BAB,30,2,0.3,0.0,305.9140992895209,107297,0.21899999678134918,True,17,100,0.2
57,MOEA-QR-BAB,30,2,0.3,0.0,305.9140992895209,853424,1.00600004196167,True,17,100,0.2
58,MOEA-QR-BSA,30,2,0.3,0.0,305.91409928952066,15253,1.472000002861023,True,17,100,0.2
59,BSA,30,2,0.3,0.0,305.91409928952066,15253,1.4780000448226929,True,17,100,0.2
60,BAB,30,2,0.3,0.0,84.61297259175004,72929,0.14100000262260437,True,17,100,0.2
61,MOEA-QR-BAB,30,2,0.3,0.0,84.61297259175004,1019575,1.156999945640564,True,17,100,0.2
62,MOEA-QR-BSA,30,2,0.3,0.0,84.61297259175002,15715,1.4930000305175781,True,17,100,0.2
