implementation,n,p,rss,iter,time,cos,intercept
numpy,100,2,5.101675888,3,0.829389266,0.999999707,1
cpp,100,2,5.116453197,4,0.009820999956,0.9999999967,1
numpy,100,3,6.934966298,3,0.78348236,0.9998789201,1
cpp,100,3,7.070073493,5,0.008909000157,0.9998117377,1
numpy,100,5,4.47017227,3,0.763352068,0.9998848661,1
cpp,100,5,4.474595637,6,0.01096199971,0.9999052217,1
numpy,500,2,29.50224441,6,2.589381023,0.9999684194,1
cpp,500,2,29.75385096,11,0.02832100017,0.9999992032,1
numpy,500,3,33.15913319,8,2.742837461,0.999899376,1
cpp,500,3,33.15913319,18,0.03229700029,0.999899376,1
numpy,500,5,31.98051866,9,2.7905714,0.9999292322,1
cpp,500,5,31.97845488,14,0.04383299989,0.9999269961,1
numpy,1000,2,69.93620813,22,6.675891295,0.9999917842,1
cpp,1000,2,69.93620813,17,0.06046100007,0.9999917842,1
numpy,1000,5,78.98936722,9,4.98050353,0.999983772,1
cpp,1000,5,78.9541466,20,0.08370799944,0.9999811413,1
numpy,1000,10,67.71012357,11,31.23332724,0.9999541853,1
cpp,1000,10,67.71203844,16,0.1249039993,0.9999549548,1
numpy,10000,2,689.5189009,19,373.3581058,0.9999968833,1
cpp,10000,2,689.518601,47,0.9163939729,0.9999969084,1
numpy,10000,5,688.9798393,18,322.8088418,0.9999931668,1
cpp,10000,5,689.0066596,29,1.12291497,0.9999943241,1
numpy,10000,10,689.5712195,15,299.4157851,0.9999972571,1
cpp,10000,10,689.5743755,16,1.438434012,0.9999971439,1
numpy,50000,2,3564.386019,27,955.3985948,0.9999974709,1
cpp,50000,2,3564.385483,29,3.630511999,0.9999974013,1
numpy,50000,5,3574.195075,21,816.9762588,0.9999998739,1
cpp,50000,5,3574.199094,22,4.967383862,0.999999892,1
