,algorithm,n,p,out,out_2model,rss,iter,time,cos,intercept_diff,l2,global_min,intercept,h_size,max_steps,leverage_ratio
0,FAST-LTS,20,2,0.3,0.0,11.934205831680327,5,0.0052159999213472474,0.9999995842371321,0.5806888796439672,0.5808358045283936,False,True,12,100,0.2
1,FSA-I,20,2,0.3,0.0,11.934205831680334,7,0.0002570000069681555,0.9999995842371322,0.5806888796439676,0.580835804528394,False,True,12,100,0.2
2,FSA-QR,20,2,0.3,0.0,16.128447932488506,100,0.010989000089466572,0.9994101623191298,0.545514503208629,0.5478070652034918,False,True,12,100,0.2
3,MOEA-I,20,2,0.3,0.0,2314.851422779445,100,0.0006249999860301614,0.9967653334060009,35.05821871069315,35.071323005576026,False,True,12,100,0.2
4,MOEA-QR,20,2,0.3,0.0,11.93420583167065,6,0.0002589999930933118,0.9999995842371322,0.5806888796439649,0.5808358045283912,False,True,12,100,0.2
5,MMEA-I,20,2,0.3,0.0,168.61665079277296,7,6.800000119255856e-05,0.9986058738238119,3.804703197777607,3.8054497543150574,False,True,12,100,0.2
6,MMEA-QR,20,2,0.3,0.0,11.934205831677584,5,0.0001250000059371814,0.9999995842371321,0.5806888796439634,0.5808358045283898,False,True,12,100,0.2
7,FAST-LTS,20,2,0.3,0.0,92.8949504143345,4,0.004203000125926337,0.9972224652841795,0.4377702683683614,0.4530181684373298,False,True,12,100,0.2
8,FSA-I,20,2,0.3,0.0,92.89495041433449,6,0.00020900000527035445,0.9972224652841795,0.4377702683683642,0.45301816843733245,False,True,12,100,0.2
9,FSA-QR,20,2,0.3,0.0,92.89495041433452,6,0.000742000003810972,0.9972224652841795,0.4377702683683665,0.45301816843733467,False,True,12,100,0.2
10,MOEA-I,20,2,0.3,0.0,-55954.48908579009,100,0.0006150000263005495,0.2529590637478837,66.7999813145546,67.17088459237078,False,True,12,100,0.2
11,MOEA-QR,20,2,0.3,0.0,92.8949504143357,6,0.00018099999579135329,0.9972224652841795,0.4377702683683631,0.45301816843733145,False,True,12,100,0.2
12,MMEA-I,20,2,0.3,0.0,-2437.3474948061676,5,7.699999696342275e-05,0.8841588447251415,10.244831716053756,10.32959272395632,False,True,12,100,0.2
13,MMEA-QR,20,2,0.3,0.0,92.8949504143348,5,0.00012599999899975955,0.9972224652841795,0.43777026836836364,0.45301816843733195,False,True,12,100,0.2
