,algorithm,n,p,out,out_2model,rss,iter,time,cos,intercept_diff,l2,global_min,intercept,h_size,max_steps,leverage_ratio
0,FAST-LTS,20,2,0.1,0.0,82.44973836127036,5,0.004410999896208523,0.9998917139811413,1.4377520824635095,1.43797055707711,False,True,12,100,0.2
1,FSA-I,20,2,0.1,0.0,82.44973836127048,3,0.0001289999927394092,0.9998917139811412,1.4377520824635148,1.4379705570771155,False,True,12,100,0.2
2,FSA-QR,20,2,0.1,0.0,347.7680833938961,100,0.010720999911427498,0.9975526541959984,4.579924988305984,4.583091197128647,False,True,12,100,0.2
3,MOEA-I,20,2,0.1,0.0,84.43519557603695,5,6.0999998822808266e-05,0.999962346823285,1.2876912294974323,1.2877749692602973,False,True,12,100,0.2
4,MOEA-QR,20,2,0.1,0.0,82.44973836127058,7,0.00022699999681208283,0.9998917139811413,1.437752082463514,1.4379705570771144,False,True,12,100,0.2
5,MMEA-I,20,2,0.1,0.0,75.05843622158133,5,6.800000119255856e-05,0.9999144885841204,1.2693918575871495,1.2696076251717436,False,True,12,100,0.2
6,MMEA-QR,20,2,0.1,0.0,82.44973836127014,6,0.00014600000577047467,0.9998917139811413,1.437752082463513,1.4379705570771135,False,True,12,100,0.2
7,FAST-LTS,20,2,0.1,0.0,32.01127840362041,4,0.0040500001232430805,0.9967065673066169,0.3979094643946049,0.41589021872431936,False,True,12,100,0.2
8,FSA-I,20,2,0.1,0.0,65.2929935557687,4,0.0001539999939268455,0.9789830297206842,1.271528070043071,1.3161497074069748,False,True,12,100,0.2
9,FSA-QR,20,2,0.1,0.0,73.35507912226628,100,0.010197999887168407,0.9847835220820065,1.8552894774960733,1.8798789465275283,False,True,12,100,0.2
10,MOEA-I,20,2,0.1,0.0,-5145.3951089737775,100,0.0007009999826550484,-0.05012723676463127,51.92052211663663,51.99782884815162,False,True,12,100,0.2
11,MOEA-QR,20,2,0.1,0.0,32.01127840362087,5,0.00024500000290572643,0.9967065673066169,0.3979094643946061,0.4158902187243208,False,True,12,100,0.2
12,MMEA-I,20,2,0.1,0.0,-157.05967685144898,7,8.099999831756577e-05,0.9894281561874843,6.309970366620252,6.316028526091764,False,True,12,100,0.2
13,MMEA-QR,20,2,0.1,0.0,32.01127840362015,3,8.900000102585182e-05,0.9967065673066169,0.39790946439460684,0.4158902187243215,False,True,12,100,0.2
14,FAST-LTS,20,2,0.1,0.0,3.4746004115461906,4,0.004415999974298757,0.9993870020540384,0.8068691377058684,0.8084011525825022,False,True,12,100,0.2
15,FSA-I,20,2,0.1,0.0,3.506645735899234,6,0.00021600000036414713,0.99762508040467,0.14095513861373815,0.1823020090324999,False,True,12,100,0.2
16,FSA-QR,20,2,0.1,0.0,3.7775682991087924,100,0.01101600006222725,0.9999709229864869,0.4088360803111735,0.4092923516907449,False,True,12,100,0.2
17,MOEA-I,20,2,0.1,0.0,-1461.606916998228,100,0.0007259999983943999,0.6306009396790624,18.457567643803447,18.523271465599013,False,True,12,100,0.2
18,MOEA-QR,20,2,0.1,0.0,3.506645735898921,6,0.00018899999849963933,0.99762508040467,0.14095513861373712,0.18230200903249846,False,True,12,100,0.2
19,MMEA-I,20,2,0.1,0.0,-41.812319788435715,4,9.000000136438757e-05,0.7873708474139324,3.862032632845895,3.9677718413584078,False,True,12,100,0.2
20,MMEA-QR,20,2,0.1,0.0,3.5958952344099737,5,0.00013000000035390258,0.999430442359831,0.24867227146173232,0.2540592524906003,False,True,12,100,0.2
21,FAST-LTS,20,2,0.1,0.0,44.88276560408738,5,0.00407800004541059,0.9964253707306152,0.004223991637084978,0.2547933815454768,False,True,12,100,0.2
22,FSA-I,20,2,0.1,0.0,80.28243574808305,7,0.00024399999529123306,0.9830834641652015,2.4752320584299072,2.4920695096575534,False,True,12,100,0.2
23,FSA-QR,20,2,0.1,0.0,65.36273578185364,100,0.012263000011444092,0.999985090225654,1.5191325759547898,1.5509065420678714,False,True,12,100,0.2
