,algorithm,n,p,out,out_2model,rss,iter,time,cos,intercept_diff,l2,global_min,intercept,h_size,max_steps,leverage_ratio
0,FAST-LTS,1000,2,0.1,0.0,7652.508601676804,20,0.062092999927699566,0.9999961690916959,0.9186177772267651,0.9186569457406385,False,True,502,100,0.2
1,MOEA-I,1000,2,0.1,0.0,23815.58871172672,100,0.4044159948825836,0.9999833879763244,1.202540300118986,1.2025793450193258,False,True,502,100,0.2
2,MOEA-QR,1000,2,0.1,0.0,21040.497812198628,100,1.7373509407043457,0.9999345550940373,1.2642461115759047,1.264797024887126,False,True,502,100,0.2
3,MMEA-I,1000,2,0.1,0.0,22048.836163073644,100,0.15873600542545319,0.9990125598019572,1.1423517569860848,1.1444600525939412,False,True,502,100,0.2
4,MMEA-QR,1000,2,0.1,0.0,23424.176550717682,100,0.5038359761238098,0.9999822229201085,1.3357104213010242,1.3360397426510224,False,True,502,100,0.2
5,FAST-LTS,1000,2,0.1,0.0,365.831806319047,20,0.2967549990862608,0.9999982422817214,0.18448579247559055,0.18450521967013306,False,True,502,100,0.2
6,MOEA-I,1000,2,0.1,0.0,1107.6308046402478,100,0.40188801288604736,0.999997349611258,0.14903168108350456,0.14930995493685315,False,True,502,100,0.2
7,MOEA-QR,1000,2,0.1,0.0,1092.6082186429426,100,1.7775559425354004,0.9999964972015477,0.047621610244211646,0.047787165789651045,False,True,502,100,0.2
8,MMEA-I,1000,2,0.1,0.0,1044.3088345377314,100,0.1609649956226349,0.9999996602558291,0.054063415971055136,0.05511685471045085,False,True,502,100,0.2
9,MMEA-QR,1000,2,0.1,0.0,998.4569740719085,100,0.5086939930915833,0.9999907661407559,0.2275443718745156,0.2276365880091719,False,True,502,100,0.2
10,FAST-LTS,1000,2,0.1,0.0,86.25410275988142,30,0.31373799219727516,0.9999793307536208,0.18447351647796184,0.18474435151030408,False,True,502,100,0.2
11,MOEA-I,1000,2,0.1,0.0,346.98661599045033,100,0.4156869947910309,0.9999851769545218,0.23499927706481727,0.235177228117982,False,True,502,100,0.2
12,MOEA-QR,1000,2,0.1,0.0,331.83266674226127,100,1.7894150018692017,0.9999999246263793,0.029194831169072052,0.029358797778093398,False,True,502,100,0.2
13,MMEA-I,1000,2,0.1,0.0,349.78222729457275,100,0.14701199531555176,0.9999974140314362,0.2162312253680133,0.21630437390131363,False,True,502,100,0.2
14,MMEA-QR,1000,2,0.1,0.0,277.9594627421689,100,0.5058029890060425,0.9999995867905696,0.1093170118442543,0.10932859515091586,False,True,502,100,0.2
15,FAST-LTS,1000,2,0.1,0.0,3061.1906590320987,19,0.3073929976671934,0.9975567460202757,0.42943173833380344,0.44296620644749435,False,True,502,100,0.2
16,MOEA-I,1000,2,0.1,0.0,7643.979668953121,100,0.41298800706863403,0.9986576101345087,0.8202393455267682,0.8235311894589056,False,True,502,100,0.2
17,MOEA-QR,1000,2,0.1,0.0,9282.614091065101,100,1.851093053817749,0.9994876256011751,0.2978235456375701,0.30493606236200943,False,True,502,100,0.2
18,MMEA-I,1000,2,0.1,0.0,8226.322553660913,100,0.1656789928674698,0.9999999954902349,0.42235967640281535,0.4225366067016326,False,True,502,100,0.2
19,MMEA-QR,1000,2,0.1,0.0,8180.199288654028,100,0.5154820084571838,0.9998880110430981,0.5200410643139615,0.5207794993340767,False,True,502,100,0.2
20,FAST-LTS,1000,2,0.1,0.0,4131.617291764842,22,0.31440299563109875,0.9998648079406308,0.9893566600774817,0.9898042580942849,False,True,502,100,0.2
21,MOEA-I,1000,2,0.1,0.0,11724.682664686992,100,0.4149329960346222,0.9998607687365616,0.3525922951668521,0.3543392528215474,False,True,502,100,0.2
22,MOEA-QR,1000,2,0.1,0.0,12236.832896453994,100,1.7942039966583252,0.9999689262478888,0.4257850419695526,0.4261952618334979,False,True,502,100,0.2
23,MMEA-I,1000,2,0.1,0.0,12146.979510659867,100,0.16687700152397156,0.9999913841282588,0.7857623992288484,0.785837302008403,False,True,502,100,0.2
24,MMEA-QR,1000,2,0.1,0.0,11060.963022978769,100,0.5174430012702942,0.9998701922603646,0.11925544471217736,0.1215389292139809,False,True,502,100,0.2
25,FAST-LTS,1000,2,0.1,0.0,1399.2576377635005,18,0.3146000076085329,0.9999844137408338,0.3119681058163092,0.31526469728117396,False,True,502,100,0.2
26,MOEA-I,1000,2,0.1,0.0,3824.004297741764,100,0.4141960144042969,0.9999763423405243,0.6888993734658091,0.6894278140314426,False,True,502,100,0.2
27,MOEA-QR,1000,2,0.1,0.0,3989.213911042804,100,1.8328830003738403,0.9998133065459246,0.34714601732127864,0.3485318837044902,False,True,502,100,0.2
28,MMEA-I,1000,2,0.1,0.0,3521.2983455651993,100,0.15743699669837952,0.999961591253205,0.12054551665830796,0.12260663785046928,False,True,502,100,0.2
29,MMEA-QR,1000,2,0.1,0.0,3785.991338288326,100,0.5102440118789673,0.9999099408616517,0.06533381246627049,0.06977090195726247,False,True,502,100,0.2
30,FAST-LTS,1000,2,0.1,0.0,1397.393206469549,24,0.31070300936698914,0.9995613772864193,0.2600274650361333,0.26337869344791937,False,True,502,100,0.2
31,MOEA-I,1000,2,0.1,0.0,4181.307956455516,100,0.40946799516677856,0.9999973250361526,0.21330959155077647,0.21334018212242678,False,True,502,100,0.2
32,MOEA-QR,1000,2,0.1,0.0,3931.9082871417604,100,1.8028600215911865,0.9999145282956562,0.06495333777850132,0.07032785060935046,False,True,502,100,0.2
33,MMEA-I,1000,2,0.1,0.0,3978.562065129386,100,0.1662980020046234,0.9999133814773428,0.17456691476778938,0.17557472543149363,False,True,502,100,0.2
