,algorithm,n,p,out,out_2model,rss,iter,time,cos,intercept_diff,l2,global_min,intercept,h_size,max_steps,leverage_ratio
0,FAST-LTS,1000,2,0.45,0.4,294.06664559902254,15,0.05416400032117963,0.9999989859351383,0.01606860570776979,0.016196595399279954,False,True,502,100,0.2
1,MOEA-I,1000,2,0.45,0.4,27333.344163344816,100,0.40414199233055115,0.9984997070569183,3.738389240643845,3.739217483725433,False,True,502,100,0.2
2,MOEA-QR,1000,2,0.45,0.4,21933.469309209962,100,1.8434720039367676,0.9992890847380608,2.9580447947883846,2.958647501548056,False,True,502,100,0.2
3,MMEA-I,1000,2,0.45,0.4,21778.743472422186,100,0.15125499665737152,0.9993577902939296,3.3641400553198912,3.364680225126617,False,True,502,100,0.2
4,MMEA-QR,1000,2,0.45,0.4,21941.983028620278,100,0.5443919897079468,0.9991258925509174,3.5128125347270185,3.5134752596991383,False,True,502,100,0.2
5,FAST-LTS,1000,2,0.45,0.4,10799.567029199236,15,0.31468899361789227,0.9999466497126475,0.3524757432292803,0.3529593632464021,False,True,502,100,0.2
6,MOEA-I,1000,2,0.45,0.4,84691.24655442822,100,0.4153209924697876,0.9870601050509041,4.153254539433771,4.167059814417944,False,True,502,100,0.2
7,MOEA-QR,1000,2,0.45,0.4,103781.58118922813,100,1.7361810207366943,0.9992576361677027,5.418872314363549,5.422144810138525,False,True,502,100,0.2
8,MMEA-I,1000,2,0.45,0.4,91749.68141448592,100,0.14797300100326538,0.9967173722049004,4.3137557537680555,4.32143246383375,False,True,502,100,0.2
9,MMEA-QR,1000,2,0.45,0.4,138153.1043960188,100,0.5275670289993286,0.9968405516409246,5.642679379186076,5.650121968282627,False,True,502,100,0.2
10,FAST-LTS,1000,2,0.45,0.4,1113.706004757616,11,0.2699150023981929,0.9999982634259578,0.004138287408684015,0.004912478796216029,False,True,502,100,0.2
11,MOEA-I,1000,2,0.45,0.4,87613.71259801244,100,0.4090999960899353,0.9998597990770207,4.51806177395929,4.5188430640049555,False,True,502,100,0.2
12,MOEA-QR,1000,2,0.45,0.4,143430.9174632444,100,1.6977460384368896,0.9998256329303599,5.440940054101491,5.441911708512267,False,True,502,100,0.2
13,MMEA-I,1000,2,0.45,0.4,111819.1018162912,100,0.14661799371242523,0.9997505892372985,4.849211850582608,4.850563802455857,False,True,502,100,0.2
14,MMEA-QR,1000,2,0.45,0.4,72983.13605013813,100,0.519677996635437,0.9998694137597418,4.327897748414803,4.329830170009011,False,True,502,100,0.2
15,FAST-LTS,1000,2,0.45,0.4,16088.400312713356,12,0.2759539969265461,0.9985132781827565,0.9343336862385536,0.9378408832365925,False,True,502,100,0.2
16,MOEA-I,1000,2,0.45,0.4,182622.38250006712,100,0.41222599148750305,0.9999813587012563,2.783734324569296,2.7982670010686768,False,True,502,100,0.2
17,MOEA-QR,1000,2,0.45,0.4,206741.77819994473,100,1.7017730474472046,0.9971492838391655,2.859793957143516,2.8769036122350102,False,True,502,100,0.2
18,MMEA-I,1000,2,0.45,0.4,161437.819923086,100,0.14775800704956055,0.9952192509733905,1.7564852703534701,1.7794226081257305,False,True,502,100,0.2
19,MMEA-QR,1000,2,0.45,0.4,198345.77253571743,100,0.5318160057067871,0.9896144456394795,3.7475035124240446,3.761098323701572,False,True,502,100,0.2
20,FAST-LTS,1000,2,0.45,0.4,3931.864785302156,13,0.2801180053502321,0.9995644670271615,0.11230347593062151,0.11968394517079618,False,True,502,100,0.2
21,MOEA-I,1000,2,0.45,0.4,60196.583404243116,100,0.43565499782562256,0.9990345515599585,1.4462203016490465,1.4477031605725132,False,True,502,100,0.2
22,MOEA-QR,1000,2,0.45,0.4,60037.015025131186,100,1.7469470500946045,0.9991934532251231,1.589873509819601,1.5911398126604546,False,True,502,100,0.2
23,MMEA-I,1000,2,0.45,0.4,69672.42975351974,100,0.15072299540042877,0.9992287820373013,1.7668107912891702,1.7679706681140954,False,True,502,100,0.2
24,MMEA-QR,1000,2,0.45,0.4,60253.99717549606,100,0.5302519798278809,0.9993778766324356,1.4758426739121262,1.4769686912659905,False,True,502,100,0.2
25,FAST-LTS,1000,2,0.45,0.4,1342.42682693828,18,0.28706199303269386,0.9999971561258433,0.12570967661832277,0.12582476964960443,False,True,502,100,0.2
26,MOEA-I,1000,2,0.45,0.4,67382.50360897752,100,0.4130589962005615,0.9988438707135564,4.637494870393981,4.645020362826002,False,True,502,100,0.2
27,MOEA-QR,1000,2,0.45,0.4,88970.19205254622,100,1.710777997970581,0.9994350810953736,5.080351683220595,5.088594020803355,False,True,502,100,0.2
28,MMEA-I,1000,2,0.45,0.4,65663.79245791631,100,0.14796000719070435,0.9996427315281986,4.361269111183482,4.367410477788484,False,True,502,100,0.2
29,MMEA-QR,1000,2,0.45,0.4,79304.71341796454,100,0.5495690107345581,0.9999744304734486,4.747422892586725,4.74956384077689,False,True,502,100,0.2
30,FAST-LTS,1000,2,0.45,0.4,309.34400396399155,8,0.27895799465477467,0.9999995647835026,0.004264866401042761,0.004906735686819494,False,True,502,100,0.2
31,MOEA-I,1000,2,0.45,0.4,22273.114068117167,100,0.4177750051021576,0.9982868780567785,0.2631359107254402,0.2797837201373035,False,True,502,100,0.2
32,MOEA-QR,1000,2,0.45,0.4,24575.40703658612,100,1.7206590175628662,0.9987063795537079,0.3481279835221759,0.3800219184183982,False,True,502,100,0.2
33,MMEA-I,1000,2,0.45,0.4,26559.451751330525,100,0.15142400562763214,0.9981490359426726,0.4572522714643177,0.48183267624130033,False,True,502,100,0.2
34,MMEA-QR,1000,2,0.45,0.4,42574.94034199282,100,0.5239080190658569,0.9990948611202162,0.47456590762150985,0.4899382118962959,False,True,502,100,0.2
35,FAST-LTS,1000,2,0.45,0.4,299.94881553724474,12,0.2847540080547333,0.9999970213617045,0.0053649685768869665,0.006587445002600034,False,True,502,100,0.2
36,MOEA-I,1000,2,0.45,0.4,144888.56090390618,100,0.3800809979438782,0.9957306794617805,6.18224040332585,6.184785429487229,False,True,502,100,0.2
37,MOEA-QR,1000,2,0.45,0.4,131106.6065984096,100,1.711266040802002,0.9964636189930829,6.328776352622488,6.331936372067878,False,True,502,100,0.2
38,MMEA-I,1000,2,0.45,0.4,169320.69456718868,100,0.15179100632667542,0.9974389342603999,7.573985096246439,7.575567843015107,False,True,502,100,0.2
39,MMEA-QR,1000,2,0.45,0.4,80889.84901296825,100,0.5259060263633728,0.9992681743292372,3.7026776796409484,3.704755939847927,False,True,502,100,0.2
40,FAST-LTS,1000,2,0.45,0.4,270.93853896913373,14,0.2886799965053797,0.9999991093121159,0.03831818051525231,0.03845502169271018,False,True,502,100,0.2
41,MOEA-I,1000,2,0.45,0.4,15584.800964405487,100,0.4047259986400604,0.9993721094157043,1.687352195669676,1.6883866403620895,False,True,502,100,0.2
42,MOEA-QR,1000,2,0.45,0.4,14261.121134098239,100,1.70181405544281,0.9997547080379999,1.8798467204566598,1.8804981608731948,False,True,502,100,0.2
43,MMEA-I,1000,2,0.45,0.4,11515.808877000058,100,0.153096005320549,0.9996862708372348,1.4131519096248926,1.413785497125452,False,True,502,100,0.2
44,MMEA-QR,1000,2,0.45,0.4,10607.128625665464,100,0.5259280204772949,0.9996935208763478,1.4600984221030784,1.4605452789757005,False,True,502,100,0.2
45,FAST-LTS,1000,2,0.45,0.4,9049.718289425258,20,0.30383000150322914,0.9998164848583005,0.6804918163274367,0.6826623917418335,False,True,502,100,0.2
46,MOEA-I,1000,2,0.45,0.4,57713.23836459944,100,0.40918999910354614,0.9999962611418629,2.9701014504179515,2.9703105766828797,False,True,502,100,0.2
47,MOEA-QR,1000,2,0.45,0.4,56346.49320550598,100,1.6952799558639526,0.999763213726073,3.5099543358303165,3.510472699987205,False,True,502,100,0.2
48,MMEA-I,1000,2,0.45,0.4,63906.4113790252,100,0.15380699932575226,0.999982408834248,3.7562601933921598,3.7564597194419025,False,True,502,100,0.2
49,MMEA-QR,1000,2,0.45,0.4,75547.91492778357,100,0.5238590240478516,0.9997286938151347,4.367933195561665,4.368157264898061,False,True,502,100,0.2
50,FAST-LTS,1000,2,0.45,0.4,9974.662613513676,18,0.3061839994043112,0.9984672242997353,0.597193427797701,0.6033768812160343,False,True,502,100,0.2
51,MOEA-I,1000,2,0.45,0.4,63864.93456473041,100,0.41800498962402344,0.9955487069824487,0.3542959670115895,0.39861948169843897,False,True,502,100,0.2
52,MOEA-QR,1000,2,0.45,0.4,58694.957777985925,100,1.7257020473480225,0.994447461552433,0.38824200066395176,0.42846789066562907,False,True,502,100,0.2
53,MMEA-I,1000,2,0.45,0.4,44751.19390308821,100,0.15398600697517395,0.9933042968237557,0.3720563864624261,0.43012905230449766,False,True,502,100,0.2
54,MMEA-QR,1000,2,0.45,0.4,97515.19838553917,100,0.5200099945068359,0.996671228334499,0.38084014618847073,0.4174890101072516,False,True,502,100,0.2
55,FAST-LTS,1000,2,0.45,0.4,17149.71853526985,27,0.2958729974925518,0.9999972812770009,0.5826631326901365,0.5835541504838786,False,True,502,100,0.2
56,MOEA-I,1000,2,0.45,0.4,85722.0122385511,100,0.40894201397895813,0.9994930140324788,1.7697872452212746,1.7761813063197605,False,True,502,100,0.2
57,MOEA-QR,1000,2,0.45,0.4,140589.9466193216,100,1.7123260498046875,0.9993020287468546,1.4835133835505052,1.4899463560286057,False,True,502,100,0.2
58,MMEA-I,1000,2,0.45,0.4,120669.64653357212,100,0.15471899509429932,0.9993677206510305,2.8138074425682467,2.8157599562867968,False,True,502,100,0.2
59,MMEA-QR,1000,2,0.45,0.4,96657.0796556786,100,0.5279549956321716,0.9998714967128318,2.24275728696316,2.2506617299079688,False,True,502,100,0.2
60,FAST-LTS,1000,2,0.45,0.4,286.486412289612,14,0.2916440013796091,0.9999984383042596,0.022015048515063543,0.02215571992858513,False,True,502,100,0.2
61,MOEA-I,1000,2,0.45,0.4,96943.53313822659,100,0.4084300100803375,0.9999349553543626,8.045263640449132,8.04668660650608,False,True,502,100,0.2
62,MOEA-QR,1000,2,0.45,0.4,174996.41724263772,100,1.7156120538711548,0.9956786173309292,9.890575116956132,9.892902690994822,False,True,502,100,0.2
63,MMEA-I,1000,2,0.45,0.4,146560.87061232785,100,0.15493400394916534,0.9999949826732913,8.210131691106136,8.211726093376527,False,True,502,100,0.2
64,MMEA-QR,1000,2,0.45,0.4,174284.92991949542,100,0.5287910103797913,0.9992467758177229,9.587406860828821,9.589668395810664,False,True,502,100,0.2
65,FAST-LTS,1000,2,0.45,0.4,15840.33637562758,12,0.30657699704170227,0.9998010131071497,0.5834588026713554,0.5848369646438049,False,True,502,100,0.2
66,MOEA-I,1000,2,0.45,0.4,226038.0056475884,100,0.41371598839759827,0.993478753540412,0.431626442795797,0.48969644423312236,False,True,502,100,0.2
67,MOEA-QR,1000,2,0.45,0.4,215817.14584372065,100,1.7372119426727295,0.9995422746013113,0.188382416665502,0.2652504643558804,False,True,502,100,0.2
68,MMEA-I,1000,2,0.45,0.4,145256.17359512323,100,0.15295299887657166,0.9912549790705594,2.0102911429689683,2.02637180452681,False,True,502,100,0.2
69,MMEA-QR,1000,2,0.45,0.4,210489.38903754158,100,0.5269399881362915,0.9997666064486436,1.516330581803674,1.5260753244866976,False,True,502,100,0.2
70,FAST-LTS,1000,2,0.45,0.4,2871.860705172144,16,0.29848399199545383,0.9999046669721925,0.3957708254906644,0.3964490700440258,False,True,502,100,0.2
71,MOEA-I,1000,2,0.45,0.4,100012.98335858353,100,0.4095590114593506,0.9995935926474669,4.091532641347522,4.094248318965557,False,True,502,100,0.2
72,MOEA-QR,1000,2,0.45,0.4,84534.52404264043,100,1.7294219732284546,0.996736536626384,2.856124060533589,2.8662729793913706,False,True,502,100,0.2
73,MMEA-I,1000,2,0.45,0.4,163867.20094087865,100,0.1558379977941513,0.995632154282797,3.5551920029690005,3.5594350117638487,False,True,502,100,0.2
74,MMEA-QR,1000,2,0.45,0.4,116609.36649657882,100,0.5274009704589844,0.9956343622019936,4.0050278824747725,4.010836705166395,False,True,502,100,0.2
75,FAST-LTS,1000,2,0.45,0.4,7774.49254787262,11,0.30110400542616844,0.9995687908935585,0.5592382267269848,0.5609747461587167,False,True,502,100,0.2
76,MOEA-I,1000,2,0.45,0.4,56219.01465779351,100,0.4070749878883362,0.9996397662845494,3.39017267051419,3.3910740149777987,False,True,502,100,0.2
77,MOEA-QR,1000,2,0.45,0.4,76987.38221632637,100,1.7106399536132812,0.9999999999630894,3.8599742306364395,3.860975426564418,False,True,502,100,0.2
78,MMEA-I,1000,2,0.45,0.4,78631.59076504048,100,0.1558459997177124,0.9999997721794603,4.2901123161665256,4.290884200493082,False,True,502,100,0.2
79,MMEA-QR,1000,2,0.45,0.4,70903.36597655254,100,0.4965539872646332,0.999425317671798,3.631384683386452,3.6323441534142185,False,True,502,100,0.2
80,FAST-LTS,1000,2,0.45,0.4,14242.930224816508,12,0.2870030105113983,0.9999634009178924,0.13098849717578914,0.13160337626146426,False,True,502,100,0.2
81,MOEA-I,1000,2,0.45,0.4,125411.40013373416,100,0.40966400504112244,0.9942030621289231,0.4994678485046928,0.5260232236953136,False,True,502,100,0.2
82,MOEA-QR,1000,2,0.45,0.4,162874.8101007452,100,1.7384990453720093,0.9978488237493455,0.8503723829376543,0.8587620970620577,False,True,502,100,0.2
83,MMEA-I,1000,2,0.45,0.4,140486.54093572387,100,0.1564279943704605,0.9951535258119392,0.9644600289837609,0.978626388055507,False,True,502,100,0.2
84,MMEA-QR,1000,2,0.45,0.4,117621.87855131716,100,0.5268880128860474,0.9973620436970255,0.3453833650977807,0.36446362556612166,False,True,502,100,0.2
85,FAST-LTS,1000,2,0.45,0.4,8867.360778692826,14,0.30000100657343864,0.999931777613111,1.7915748491576324,1.7927823424994258,False,True,502,100,0.2
86,MOEA-I,1000,2,0.45,0.4,32007.797921841997,100,0.4084259867668152,0.9988804796266201,4.190692088869849,4.192257538993673,False,True,502,100,0.2
87,MOEA-QR,1000,2,0.45,0.4,34927.537864514874,100,1.7257510423660278,0.9999583075492021,4.073969964715058,4.0752743099873046,False,True,502,100,0.2
88,MMEA-I,1000,2,0.45,0.4,37101.17090699026,100,0.1556279957294464,0.9992555337292258,4.660173876847889,4.662143355742193,False,True,502,100,0.2
89,MMEA-QR,1000,2,0.45,0.4,30459.078891649282,100,0.5234540104866028,0.9999990035120554,3.1309056152060704,3.13192715992327,False,True,502,100,0.2
90,FAST-LTS,1000,2,0.45,0.4,1244.875145052921,10,0.28786699287593365,0.9999994671225899,0.05343128153527296,0.05358364206009707,False,True,502,100,0.2
91,MOEA-I,1000,2,0.45,0.4,89623.39457107292,100,0.4052090048789978,0.9995511777879921,2.113473562880396,2.1141107245313573,False,True,502,100,0.2
92,MOEA-QR,1000,2,0.45,0.4,92182.96349454501,100,1.7398940324783325,0.9999738457474543,1.5123694453353398,1.5124115855829403,False,True,502,100,0.2
93,MMEA-I,1000,2,0.45,0.4,97248.96203687892,100,0.15686699748039246,0.9997272048040432,1.364512581029087,1.3649636627016979,False,True,502,100,0.2
