,algorithm,n,p,out,out_2model,rss,iter,time,cos,intercept_diff,l2,global_min,intercept,h_size,num_starts_subsets,leverage_ratio
0,RBSA,20,2,0.1,0.0,38.86994095595335,3689,0.1804260015487671,0.930271513896332,2.1628238724732363,2.2417687238801283,False,True,12,5000,0.2
1,RANDOM,20,2,0.1,0.0,108.5989801668934,0,0.010329999960958958,0.996773604399465,0.019311784604468724,0.20910369734616185,False,True,12,5000,0.2
2,MMEA-QR,20,2,0.1,0.0,43.35820174171718,4,0.00017299999308306724,0.957503594767379,2.5053446816678067,2.5525188991088923,False,True,12,5000,0.2
3,FAST-LTS,20,2,0.1,0.0,48.411626952794016,5,0.0010089999705087394,0.9672603271416964,2.956086956100133,2.9831299984035695,False,True,12,5000,0.2
4,RBSA,100,3,0.1,0.0,687.8629208547118,2820,0.8585739731788635,0.9969699262525266,3.5319458875076664,3.5356717945387084,False,True,52,5000,0.2
5,RANDOM,100,3,0.1,0.0,2285.478380020877,0,0.02622999995946884,0.9993116410332344,0.06273110058862008,0.08984179668502762,False,True,52,5000,0.2
6,MMEA-QR,100,3,0.1,0.0,575.2836717900349,25,0.00240899994969368,0.9999975702134545,3.493445337661069,3.494025164352952,False,True,52,5000,0.2
7,FAST-LTS,100,3,0.1,0.0,579.1347645876194,9,0.001932999977725558,0.9993187721595329,3.296427985371257,3.2977128605717767,False,True,52,5000,0.2
8,RBSA,100,5,0.1,0.0,785.8827036149456,17199,6.601892948150635,0.9868409433070037,0.12474027381397335,0.4072890189394751,False,True,53,5000,0.2
9,RANDOM,100,5,0.1,0.0,2672.107148619842,0,0.03246700018644333,0.9991174391434698,1.1136893315714096,1.11772559592897,False,True,53,5000,0.2
10,MMEA-QR,100,5,0.1,0.0,654.4625831887118,24,0.0026110000908374786,0.9985261410602131,3.0448734417436802,3.0473116203021666,False,True,53,5000,0.2
11,FAST-LTS,100,5,0.1,0.0,589.6369442302694,8,0.0024339999654330313,0.9987644926156456,2.6200837763645533,2.6232692533761037,False,True,53,5000,0.2
12,RBSA,500,2,0.1,0.0,2789.327105030876,245,1.1697590351104736,0.9891707039892296,1.092204061930233,1.115277720725823,False,True,252,5000,0.2
13,RANDOM,500,2,0.1,0.0,94567.1908053903,0,0.3085840046405792,0.9909475431565963,0.9720214909153493,0.9918591505942499,False,True,252,5000,0.2
14,MMEA-QR,500,2,0.1,0.0,6739.891127709042,50,0.1686919927597046,0.9996177262878756,0.14111147712412417,0.14938703292618952,False,True,252,5000,0.2
15,FAST-LTS,500,2,0.1,0.0,2706.437598618325,13,0.03992999903857708,0.9931958849901038,1.796781880921007,1.8048328448510524,False,True,252,5000,0.2
16,RBSA,500,5,0.1,0.0,5331.388820666067,3780,17.317312240600586,0.9938947191338158,3.0530815385030348,3.07402598017134,False,True,253,5000,0.2
17,RANDOM,500,5,0.1,0.0,301339.1789203681,0,0.3801479935646057,0.9922690070831776,7.1224077408920685,7.1279983040532295,False,True,253,5000,0.2
18,MMEA-QR,500,5,0.1,0.0,8313.9887286698,50,0.28869301080703735,0.9999608395395863,1.4833242179442965,1.483922663294407,False,True,253,5000,0.2
19,FAST-LTS,500,5,0.1,0.0,2534.8774703365375,13,0.05681400001049042,0.9998156000634808,0.875718537929186,0.8779865474740276,False,True,253,5000,0.2
